"ASV_id","TAXID","SCIENTIFIC_NAME","BEST_IDENTITY","COUNT","domain","phylum","class","order","family","genus","species"
"MiFish_0000001","None",NA,0,225309,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000002","None",NA,0,2870,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000003","None",NA,0,19113,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000004","8225","Euthynnus",0.994047619047619,441,"Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Euthynnus",NA
"MiFish_0000005","None",NA,0,4405,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000006","None",NA,0,60,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000007","1229150","Mugil thoburni",1,158907,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni"
"MiFish_0000008","None",NA,0,4118,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000009","None",NA,0,25,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000010","None",NA,0,800,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000011","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000012","1350519","Stegastes arcifrons",1,57251,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons"
"MiFish_0000013","None",NA,0,15914,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000014","None",NA,0,27,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000015","None",NA,0,28,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000016","None",NA,0,3486,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000017","None",NA,0,40,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000018","None",NA,0,513,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000019","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000020","None",NA,0,432,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000021","None",NA,0,122,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000022","None",NA,0,3531,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000023","None",NA,0,94,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000024","None",NA,0,27,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000025","None",NA,0,92,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000026","None",NA,0,480,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000027","None",NA,0,8263,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000028","None",NA,0,10,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000029","None",NA,0,87,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000030","None",NA,0,89,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000031","None",NA,0,18,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000032","None",NA,0,13,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000033","None",NA,0,49,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000034","None",NA,0,40,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000035","1229150","Mugil thoburni",0.988235294117647,62,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni"
"MiFish_0000036","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000037","None",NA,0,71,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000038","None",NA,0,49,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000039","None",NA,0,42,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000040","None",NA,0,25,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000041","None",NA,0,12,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000042","None",NA,0,22,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000043","None",NA,0,13,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000044","None",NA,0,453,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000045","1350519","Stegastes arcifrons",0.994285714285714,189,"Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons"
"MiFish_0000046","None",NA,0,142,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000047","None",NA,0,69,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000048","None",NA,0,28,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000049","None",NA,0,21,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000050","None",NA,0,37,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000051","None",NA,0,35,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000052","None",NA,0,11,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000053","None",NA,0,108,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000054","None",NA,0,36,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000055","1229150","Mugil thoburni",0.994117647058824,496,"Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni"
