"ASV_id","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","match_rank"
"MiFish_0000058","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Spariformes","Spariformes","Sparidae","Sparidae","Archosargus",NA,"Archosargus rhomboidalis",NA,"family"
"MiFish_0000066","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Lampanyctus","Lampanyctus","Lampanyctus acanthurus",NA,"genus"
"MiFish_0000091","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000093","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000094","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000103","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000106","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000107","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000108","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000110","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000111","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000112","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000113","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000114","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000117","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000121","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000122","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000126","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000129","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Orthopristis","Orthopristis","Orthopristis chrysoptera",NA,"genus"
"MiFish_0000131","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000134","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Lutjanidae","Lutjanidae","Lutjanus","Lutjanus","Lutjanus argentimaculatus",NA,"genus"
"MiFish_0000157","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000158","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000160","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000161","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000164","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Mycteroperca","Mycteroperca","Mycteroperca bonaci",NA,"genus"
"MiFish_0000206","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Scombriformes","Scombriformes","Scombridae","Scombridae","Euthynnus","Euthynnus","Euthynnus affinis",NA,"genus"
"MiFish_0000218","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Haemulon","Haemulon","Haemulon plumierii",NA,"genus"
"MiFish_0000221","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Serranidae","Serranidae","Epinephelus","Epinephelus","Epinephelus bontoides",NA,"genus"
"MiFish_0000223","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000234","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Scorpaenidae","Scorpaenidae","Pontinus","Pontinus","Pontinus macrocephalus",NA,"genus"
"MiFish_0000237","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
"MiFish_0000249","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lutjaniformes","Lutjaniformes","Haemulidae","Haemulidae","Conodon",NA,"Conodon nobilis",NA,"family"
"MiFish_0000252","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Clupeiformes","Clupeiformes","Clupeidae","Clupeidae","Dorosoma",NA,"Dorosoma cepedianum",NA,"family"
"MiFish_0000273","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gerreiformes","Gerreiformes","Gerreidae","Gerreidae","Eucinostomus","Eucinostomus","Eucinostomus melanopterus",NA,"genus"
