"ASV_id","pct_id","count","obitools_name","domain","phylum","class","order","family","genus","species","regatta_match_rank"
"MiFish_0000001",0,225309,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000002",0,2870,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000003",0,19113,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000004",99.4047619047619,441,"Euthynnus","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Euthynnus",NA,"genus"
"MiFish_0000005",0,4405,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000006",0,60,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000007",100,158907,"Mugil thoburni","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni","species"
"MiFish_0000008",0,4118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000009",0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000010",0,800,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000011",0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000012",100,57251,"Stegastes arcifrons","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons","species"
"MiFish_0000013",0,15914,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000014",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000015",0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000016",0,3486,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000017",0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000018",0,513,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000019",0,11,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000020",0,432,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000021",0,122,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000022",0,3531,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000023",0,94,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000024",0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MiFish_0000025",0,92,NA,NA,NA,NA,NA,NA,NA,NA,NA
