"Sample_name","BestTaxon","Class","nReads","name_match_type","domain","phylum","class","order","family","genus","species"
"RL2501_EN3825_3_MV1","Bos taurus","Mammalia",5,"scientific name","Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus"
"RL2501_EN3825_3_MV1","Citharichthys sordidus","Actinopteri",7,"scientific name","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_EN3825_3_MV1","Delphinidae","Mammalia",21,"scientific name","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"RL2501_EN3825_3_MV1","Engraulis mordax","Actinopteri",920,"scientific name","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_EN3825_3_MV1","Homo sapiens","Mammalia",5,"scientific name","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_EN3825_3_MV1","Merluccius productus","Actinopteri",2,"scientific name","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"RL2501_EN3825_3_MV1","Oneirodes","Actinopteri",3,"scientific name","Eukaryota","Chordata","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes",NA
"RL2501_EN3825_3_MV1","Sebastes","Actinopteri",7,"scientific name","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_EN3825_3_MV1","Symbolophorus californiensis","Actinopteri",36,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_EN3825_3_MV1","Tetragonurus cuvieri","Actinopteri",37,"scientific name","Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"RL2501_EN3825_3_MV1",NA,NA,708,NA,NA,NA,NA,NA,NA,NA,NA
"RL2501_EN3825_4_MV1","Engraulis mordax","Actinopteri",12,"scientific name","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_EN3825_4_MV1","Symbolophorus californiensis","Actinopteri",6,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"RL2501_EN3825_4_MV1",NA,NA,1164,NA,NA,NA,NA,NA,NA,NA,NA
"RL2501_EN91825_3_MV1","Citharichthys sordidus","Actinopteri",2,"scientific name","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"RL2501_EN91825_3_MV1","Engraulis mordax","Actinopteri",19,"scientific name","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_EN91825_3_MV1","Homo sapiens","Mammalia",2,"scientific name","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"RL2501_EN91825_3_MV1","Pleuronectidae","Actinopteri",3,"scientific name","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae",NA,NA
"RL2501_EN91825_3_MV1","Sebastes","Actinopteri",8,"scientific name","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"RL2501_EN91825_3_MV1","Syngnathus","Actinopteri",3,"scientific name","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"RL2501_EN91825_4_MV1","Engraulis mordax","Actinopteri",3,"scientific name","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"RL2501_F006_1_1_MV1","Astropecten verrilli","Asteroidea",61,"scientific name","Eukaryota","Echinodermata","Asteroidea","Paxillosida","Astropectinidae","Astropecten","Astropecten verrilli"
