"metric","count"
"total ASVs",1438
"assigned before checklist-LCA",546
"assigned after checklist-LCA",546
"change in number of ASVs assigned",0
"matched at species",295
"matched at genus",231
"matched at family",19
"matched at order",1
"matched at class",0
"matched at phylum",0
"matched at domain",0
"not matched (off-target)",892
"ID'ed to kingdom only",0
"ID'ed to phylum only",0
"ID'ed to class only",95
"ID'ed to order only",1
"ID'ed to family only",19
"ID'ed to genus only",231
"ID'ed to species",295
