"","row_names","global_stats","local_stats","post_stats"
"1","total ASVs",1438,1478,1438
"2","assigned ASVs",542,228,546
"3","Percentage of ASVs assigned",37.6912378303199,15.426251691475,37.9694019471488
"4","count of local assignment preferred",NA,NA,139
"5","percent local assignments",NA,NA,25.6457564575646
"6","count of global assignment preferred",NA,NA,403
"7","percent global assignments",NA,NA,74.3542435424354
"8","change in number of ASVs assigned",NA,NA,4
"9","ID'ed to kingdom only",0,0,0
"10","ID'ed to phylum only",0,0,0
"11","ID'ed to class only",104,0,0
"12","ID'ed to order only",10,0,0
"13","ID'ed to family only",16,6,2
"14","ID'ed to genus only",129,28,13
"15","ID'ed to species",413,200,175
"16","Number of phyla",2,2,2
"17","Number of classes",3,3,3
"18","Number of orders",26,15,15
"19","Number of families",42,18,18
"20","Number of genera",72,26,26
"21","Number of species",76,27,27
