"""Actaea"" angusta"
Abasia platyrostris
Abyssaranea rupis
Acanthacaris tenuimana
Acantharctus posteli
Acanthaxius formosa
Acanthephyra acanthitelsonis
Acanthephyra acutifrons
Acanthephyra armata
Acanthephyra brevirostris
Acanthephyra carinata
Acanthephyra curtirostris
Acanthephyra eximia
Acanthephyra faxoni
Acanthephyra fimbriata
Acanthephyra kingsleyi
Acanthephyra pelagica
Acanthephyra prionota
Acanthephyra purpurea
Acanthephyra quadrispinosa
Acanthephyra sanguinea
Acanthephyra smithi
Acanthephyra stylorostratis
Acanthilia intermedia
Acanthocarpus brevispinis
Acantholeberis curvirostris
Acantholobulus bermudensis
Acantholobulus caribbaeus
Acanthomolgus astrictus
Acanthomolgus brevifurca
Acanthomolgus dispadactylus
Acanthomolgus exilipes
Acanthomolgus gomumuensis
Acanthomolgus varirostratus
Acanthonyx minor
Acanthonyx petiverii
Acanthophrys bocki
Acanthoscina acanthodes
Acanthosquilla derijardi
Acanthosquilla multifasciata
Acanthothelphusa congoensis
Acanthothelphusa didieri
Acanthothelphusa dybowskii
Acanthothelphusa lirrangensis
Acanthothelphusa niloticus
Acanthothelphusa stanleyensis
Acartia (Acanthacartia) levequei
Acartia clausi
Acartia danae
Acartia erythraea
Acartia levequei
Acartia lilljeborgii
Acartia negligens
Acartia pacifica
Acartia spinicauda
Acartia tonsa
Accalathura barnardi
Accalathura borradailei
Acetes binghami
Acetes erythraeus
Acetes marinus
Acetes paraguayensis
Achaeus brevirostris
Achaeus japonicus
Achaeus lacertosus
Achaeus paradicei
Achaeus pholcus
Achaeus pugnax
Achaeus spinosus
Achaeus trifalcatus
Achelous acuminatus
Achelous affinis
Achelous anceps
Achelous angustus
Achelous asper
Achelous brevimanus
Achelous gibbesii
Achelous inaequalis
Achelous iridescens
Achelous ordwayi
Achelous panamensis
Achelous rufiremus
Achelous spinicarpus
Achelous spinimanus
Achelous stanfordi
Achelous tuberculatus
Achelous ventralis
Acidops fimbriatus
Acontiophorus scutatus
Acrocalanus andersoni
Acrocalanus gibber
Acrocalanus gracilis
Acrocalanus longicornis
Acrocalanus monachus
Actaea perspinosa
Actaea polyacantha
Actaea spinosissima
Actaeodes mutatus
Actaeodes tomentosus
Actaeomorpha erosa
Actinimenes inornatus
Actinimenes ornatellus
Actiomera erythra
Acusicola pellonidis
Acusicola tucunarense
Acutomunna foliacea
Adeliella takoradia
Adinda malaccensis
Aega acuminata
Aega antennata
Aegaeon lacazei
Aegaeon orientalis
Aegaeon rathbuni
Aegiochus francoisae
Aegiochus gracilipes
Aegiochus longicornis
Aegiochus vigilans
Aegisthus aculeatus
Aegisthus mucronatus
Aegisthus spinulosus
Aethra scruposa
Aethra scutata
Aetideus acutus
Aetideus armatus
Aetideus bradyi
Aetideus giesbrechti
Africorchestia tricornuta
Afrocyclops gibsoni
Afrolaophonte schmidti
Afromysis hansoni
Afruca tangeri
Agaricochirus gibbosimanus
Agetus flaccus
Agetus typicus
Agnara madagascariensis
Agononida auscerta
Agononida eminens
Agononida fortiantennata
Agononida incerta
Agononida indocerta
Agononida norfocerta
Agononida rubrizonata
Agononida vanuacerta
Agrenocythere hazeli
Akanthinotanais gerlachi
Alacia elsae
Alainopaguroides lemaitrei
Albunea elioti
Albunea galapagensis
Albunea gibbesii
Albunea holthuisi
Albunea lucasia
Albunea paretii
Albunea symmysta
Alcockpenaeopsis hungerfordii
Alcyonohippolyte commensalis
Alcyonomolgus incisus
Alcyonomolgus relativus
Alebion carchariae
Aliaporcellana suluensis
Alienaxiopsis clypeata
Alima neptuni
Alima orientalis
Alima pacifica
Alitropus typus
Allaxiopsis picteti
Allogalathea babai
Allogalathea elegans
Allogalathea inermis
Allosergestes pectinatus
Allosergestes sargassi
Alocopocythere goujoni
Alocopocythere kendengensis
Alona affinis
Alona guttata
Alona intermedia
Alona sphagnophila
Alonella excisa
Alonella hampelae
Alox tormos
Alpheopsis allanhancocki
Alpheopsis chalciope
Alpheopsis yaldwyni
Alpheus acutocarinatus
Alpheus acutofemoratus
Alpheus agilis
Alpheus bellimanus
Alpheus bellulus
Alpheus bidens
Alpheus bisincisus
Alpheus bouvieri
Alpheus brevipes
Alpheus bucephalus
Alpheus buckupi
Alpheus c.f. armillatus
Alpheus chacei
Alpheus chilensis
Alpheus clypeatus
Alpheus collumianus
Alpheus colombiensis
Alpheus cristatus
Alpheus crockeri
Alpheus cyanoteles
Alpheus deuteropus
Alpheus diadema
Alpheus digitalis
Alpheus dispar
Alpheus dolerus
Alpheus edamensis
Alpheus edwardsii
Alpheus estuariensis
Alpheus eulimene
Alpheus euphrosyne
Alpheus facetus
Alpheus fagei
Alpheus frontalis
Alpheus galapagensis
Alpheus gracilipes
Alpheus grahami
Alpheus hailstonei
Alpheus hebes
Alpheus heterochaelis
Alpheus hippothoe
Alpheus holthuisi
Alpheus inca
Alpheus leptochiroides
Alpheus leptochirus
Alpheus leviusculus
Alpheus lobidens
Alpheus longinquus
Alpheus lottini
Alpheus macellarius
Alpheus macrocheles
Alpheus macroskeles
Alpheus malleator
Alpheus malleodigitus
Alpheus mangalis
Alpheus normanni
Alpheus obesomanus
Alpheus pachychirus
Alpheus pacificus
Alpheus panamensis
Alpheus paracrinitus
Alpheus paradentipes
Alpheus paralcyone
Alpheus parvirostris
Alpheus percyi
Alpheus perplexus
Alpheus pontederiae
Alpheus proseuchirus
Alpheus ramosportoae
Alpheus randalli
Alpheus rapax
Alpheus richardsoni
Alpheus rostratus
Alpheus rugimanus
Alpheus saxidomus
Alpheus serenei
Alpheus sibogae
Alpheus sizou
Alpheus splendidus
Alpheus strenuus
Alpheus sulcatus
Alpheus superciliaris
Alpheus vanderbilti
Alpheus viridari
Alpheus websteri
Alpheus xanthocarpus
Alpioniscus fragilis
Altelatipes carinatus
Alvinocaris lusca
Amallothrix tenuiserrata
Amallothrix tropica
Amathillopsis australis
Ambiaxius tudak
Ambidexter panamensis
Ambidexter swifti
Amboplax peresi
Americorophium spinicorne
Amigdoscalpellum rigidum
Ampelisca cristianae
Ampelisca lobata
Ampelisca milleri
Ampelisca pseudobicarinata
Ampelisca pugetica
Ampelisca rocasensis
Ampelisca soleata
Ampelisciphotis tridens
Amphibalanus amphitrite
Amphibalanus cirratus
Amphibalanus eburneus
Amphibalanus improvisus
Amphibalanus reticulatus
Amphilochus neapolitanus
Amphionides reynaudii
Amphithrax bellii
Amphithyrus bispinosus
Amphithyrus sculpturatus
Ampithoe guaspare
Ampithoe plumulosa
Ampithoe pollex
Ampithoe ramondi
Ampithoe tahue
Ampithoe vacoregue
Anamathia hystrix
Anamixis pacifica
Anapagurus vossi
Anasimus latus
Anchialella vulcanella
Anchialina media
Anchialina truncata
Anchimolgus angustus
Anchimolgus compressus
Anchimolgus contractus
Anchimolgus convexus
Anchimolgus digitatus
Anchimolgus eparmatoides
Anchimolgus gibberulus
Anchimolgus latens
Anchimolgus mimeticus
Anchimolgus moluccanus
Anchimolgus nasutus
Anchimolgus pandus
Anchimolgus punctilis
Anchimolgus setellus
Anchiopontonia hurii
Anchisquilla fasciata
Anchisquilloides mcneilli
Anchistioides willeyi
Anchistus custoides
Anchistus custos
Anchistus gravieri
Anchistus miersi
Anchylomera blossevillei
Ancorabolina chimaera
Ancylocaris brevicarpalis
Ancylomenes aesopius
Ancylomenes holthuisi
Ancylomenes luteomaculatus
Ancylomenes magnificus
Ancylomenes sarasvati
Ancylomenes tosaensis
Ancylomenes venustus
Androdeloscia escalonai
Angustopelta aurita
Angustopelta modesta
Aniculus aniculus
Aniculus elegans
Aniculus erythraeus
Aniculus hopperae
Aniculus maximus
Aniculus retipes
Anilocra alloceraea
Anilocra amboinensis
Anilocra ankistra
Anilocra longicauda
Anisomolgus limbatus
Anisopagurus bartletti
Annandaleum gruvelii
Anomalothir hoodensis
Antarcturus hirsutus
Antarcturus multispinis
Anthessius discipedatus
Anthosoma crassum
Antillimunida gracilipes
Antillimunida hispida
Antronicippe serrata
Apanthura stocki
Aparapenaeon japonica
Aphantolana costaricensis
Aphotopontius arcuatus
Aphotopontius baculigerus
Aphotopontius limatulus
Aphotopontius mammillatus
Aphotopontius probolus
Apiomithrax violaceus
Apocyclops panamensis
Apodopsyllus arcuatus
Apopontonia falcirostris
Aporobopyrus curtatus
Apotectonia heterostegos
Apseudes galapagensis
Apseudes meridionalis
Arachnomysis leuckartii
Arachnomysis megalops
Aratus pacificus
Aratus pisonii
Arcania gracilis
Arcania septemspinosa
Arcania tuberculata
Archaeatya chacei
Archaeoscina steenstrupi
Archypolycope atlantica
Archypolycope brandtae
Archypolycope louisi
Archypolycope martinezi
Arcopotamonautes amosae
Arcopotamonautes gerdalensis
Arcopotamonautes infravallatus
Arcopotamonautes johnstoni
Arcopotamonautes platycentron
Arcopotamonautes suprasulcata
Arcoscalpellum michelottianum
Arcoscalpellum portoricanum
Arcoscalpellum tritonis
Arcotheres obesus
Arcotheres similis
Arcturus parvus
Arenaeus cribrarius
Arenaeus mexicanus
Arenosetella germanica
Areopaguristes mauritanicus
Areopaguristes micheleae
Argathona lineata
Argathona macronema
Argathona rhinoceros
Argathona trichota
Argulus africanus
Arietellus aculeatus
Arietellus giesbrechti
Arietellus plumifer
Arietellus setosus
Aristaeomorpha foliacea
Aristaeopsis edwardsiana
Aristeus semidentatus
Aristeus varidens
Aristeus virilis
Armadillidium granulatum
Armadillidium hirtum
Armadillidium odhneri
Armadillidium tigris
Armadillidium vulgare
Armadillo intermixtus
Armases angustipes
Armases angustum
Armases benedicti
Armases elegans
Armases occidentale
Armases rubripes
Armatobalanus quadrivittatus
Armillifer armillatus
Armillifer grandis
Artemia monica
Artystone trysibia
Ashtoret lunaris
Aspinus acicularis
Astericola clausii
Asterocheres brevisurculus
Asterocheres crinoidicola
Asterocheres echinicola
Asteropontius gonioporae
Astroxynus choriasteris
Astroxynus culcitae
Atelecyclus rotundatus
Atergatis floridus
Atergatis integerrimus
Atergatis latissimus
Atergatis ocyroe
Atergatopsis germainii
Atergatopsis signata
Athanas areteformis
Athanas parvus
Athanas tenuipes
Atjehella semiplicata
Atlantistylis chauvini
Atlantocuma tenue
Atya crassa
Atya gabonensis
Atya intermedia
Atya scabra
Atydina atyoides
Atyoida pilipes
Atyopsis moluccensis
Atyopsis spinipes
Audacallichirus mirim
Augaptilus longicaudatus
Aulacolambrus diacanthus
Aulacolambrus granulosus
Aulacolambrus hoplonotus
Austinixa aidae
Austinixa transversalis
Austinogebia spinifrons
Austrocephaloides tori
Austromegabalanus psittacus
Austruca annulipes
Austruca lactea
Austruca perplexa
Austruca triangularis
Automate anacanthopus
Automate dolichognatha
Axiopsis baronai
Axiopsis consobrina
Axiopsis pica
Axiopsis serratifrons
Axiopsis tsushimaensis
Ayressoleberis colesi
Azotostoma bunakenensis
Babamunida brucei
Babamunida robusta
Bacescomysis birsteini
Bacescomysis peruvianus
Bairdoppilata hirsuta
Balanus calidus
Balanus crenatus
Balanus declivis
Balanus glandula
