"","Domain","Kingdom","Phylum or Division","Class","Order","Suborder","Superfamily","Family","Subfamily","Tribe or Section","Genus","Species","Infraspecific Epithet","Author","Origin","Suborigin","IUCN Status","Taxon Status","Darwin","Española","Fernandina","Floreana","Genovesa","Isabela","Marchena","Pinta","Pinzón","San Cristóbal","Santa Cruz","Santa Fé","Santiago","Unknown Island","Wolf","Elizabeth Bay/Bahía Elizabeth","Far-northern/Lejano Norte","Northern/Norte","South-eastern/Centro Sur","Unknown Bioregion","Western/Oeste","TaxonID","English Common Name","Spanish Common Name","Local Name","Taxonomic Comments","Distribution Comments","Spanish Distribution Comments","English Comments","Spanish Comments","English Description","Spanish Description"
"1","Eukaryota","Animalia","Chordata","Actinopterygii","Albuliformes","",NA,"Albulidae","Albulinae",NA,"Albula","esuncula","","(Garman, 1899)","Na","Id","NE",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",12970,"","","","","Eastern Pacific","","Tropical:Reef-associated; brackish; marine .","","",""
"2","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Anguillidae","",NA,"Anguilla","marmorata","","Quoy & Gaimard, 1824","Na","Va","NE",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",12972,"Giant mottled eel","anguilla moteada gigante","anguilla moteada gigante","Syn.: Anguilla hildebrandti Peters, 1881, Anguilla johannae Günther, 1867, Anguilla marmolata Quoy & Gaimard, 1824 (misspelling), Anguilla mauritiana Bennett, 1831, Muraena manillensis Bleeker, 1864, fide Appeltans et al. (2010)","Indo-West Pacific from East Africa tp the Society Islands, up north to southern Japan, Galapagos","","Tropical;catadromous (Ref. 51243); freshwater; brackish; marine; depth range 1 - 400 m (Ref. 6898),Demersal","","Distinguished from all other species by the mottled color and the long dorsal fin, which begins closer to the gill opening than to the anus (Ref. 9828).Adults have a brownish to black marbling on their back on a greyish yellow background. This coloration can fade away. White belly. Younger specimens are greyish to orange and the marbling is less visible (Ref. 48622). Body color brown speckles scattered on back, sides and fins; yellow between speckles and edge of pectoral fin; belly white or pale blue (Ref. 45563). Head rounded; snout depressed; lower jaw protruded; gill openings small; scales matted-like under skin; pectoral fin rounded; pelvic fin absent (Ref. 45563).",""
"3","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Chlopsidae","",NA,"Chlopsis","bicollaris","","(Myers & Wade, 1941)","Na","En","NE",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",12973,"Bicolor false moray","morena falso de dos colores","","","Galapagos Islands.Southeast Pacific.","","Tropical;Demersal; marine.","","","size> Largest  known  individual measures 19.5 cm."
"4","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Congridae","",NA,"Paraconger","californiensis","","Kanazawa, 1961","Na","Id","",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",13015,"Blackfin conger","","","","Eastern Pacific, Gulf of California to Peru, Cocos, Galapagos","","Habitat: Shallow water between","","Length about 40 cm",""
"5","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Muraenidae","",NA,"Anarchias","galapagensis","","(Seale, 1940)","Na","Id","",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",11737,"Minute moray","morena menuda","morena","Syn.: Uropterygius galapagensis Seale, 1940, fide Appeltans et al. (2010)","Eastern Pacific, Central Gulf of California, Panama, Galapagos","","","","Length of 12.5 cm",""
"6","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Muraenidae","",NA,"Enchelycore","lichenosa","","(Jordan & Snyder, 1901)","Na","Va","NE",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",7634,"Reticulate hookjaw moray, mosaic moray","morena boca de gancho, morena mosaico","morena mosaico","Syn.: Aemasia lichenosa Jordan & Snyder, 1901, fide Appeltans et al. (2010)","Indo-Pacific, Japan and Ecuador,Galápagos Islands only.","","Habitat: Rocky coasts","","Background color brown to dark brown and black. Lengths of 90 TL",""
"7","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Muraenidae","",NA,"Enchelycore","octaviana","","(Myers & Wade, 1941)","Na","Id","NE",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",7635,"Slenderjaw moray","morena quijada delgada, morena kuijada esbelto","morena kuijada esbelta","Syn.: Enchelycore octavianus (Myers & Wade, 1941), Gymnothorax octavianus Myers & Wade, 1941, fide Appeltans et al. (2010)","Eastern Pacific; from the Gulf of California to Colombia, and Isla de Cano, Revillagigedos and Ecuador, Galapagos, and Central Mexico to Peru, and Cocos Islands","","Habitat: Rocky, boulder strewn areas and walls; nocturnal.","","Shades of brown. Numerous exposed fang-like teeth. Slender body. Lengths of 93 cm.",""
"8","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Muraenidae","",NA,"Gymnomuraena","zebra","","(Shaw, 1797)","Na","Id","NE",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",7636,"Zebra moray","morena cebra","morena cebra","Syn.: Echidna zebra (Shaw, 1797), Gymnomuraena fasciata Kaup, 1856, 1797, Muraena molendinaris Bennett, 1833, Muraena zebra (Shaw, 1797), Poecilophis zebra (Shaw, 1797), fide Appeltans et al. (2010)","Indo- West Pacific, Gulf of California to Panama, Southwest Gulf of California to Ecuador, in Galpagos and all the oceanic islands of the Eastern Pacific.","","Habitat: Around reef crevices","","Black to dark brown and purplish brown. Blunt head; pair of tubular nostrils above mouth. Lengths of at least 88.5 cm",""
"9","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Muraenidae","",NA,"Gymnothorax","buroensis","","(Bleeker, 1857)","Na","Id","",1,"","","","",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",12979,"Vagrant moray","morena errante","morena enrejado","Syn.: Lycodontis buroensis (Bleeker, 1857), Muraena buroensis Bleeker, 1857, fide Appeltans et al. (2010)","Indo-West Pacific (vagrant?), Hawaii, Clipperton, Panama, Coco and Galapagos","","","","Length ten to 46 cm",""
"10","Eukaryota","Animalia","Chordata","Actinopterygii","Anguilliformes","",NA,"Muraenidae","",NA,"Gymnothorax","dovii","","(Günther, 1870)","Na","Id","NE",1,"","","","True",NA,"",NA,NA,NA,"","True","","","",NA,"","",NA,"True","","",7638,"Speckled moray, fine spotted moray","morena pintita, morena punto fino","morena punto fino","Syn.: Muraena dovii Günther, 1870, fide Appeltans et al. (2010)","Eastern Pacific from the Gulf of California to Ecuador including Galapagos, also Clipperton and Cocos. Revillegigedos, Malpelo","","Habitat: Rocky, boulder strewn areas and walls. Lurk in holes, crevices and dark recesses.","Hábitat: roca, zonas de roca esparcidas y las paredes. Se esconden en agujeros, grietas y huecos oscuros.","Occasionally have fine white to yellow spots or flecks on rear body and dorsal fin. Up to 1.1 m.","Tamaño: de 1.1 m."
