"Species","Source"
"Clausocalanus furcatus","OBIS"
"Calocalanus pavo","OBIS"
"Farranula gibbula","OBIS"
"Temora discaudata","OBIS"
"Labidocera acuta","OBIS"
"Cosmocalanus darwinii","OBIS"
"Stygiopontius sentifer","OBIS"
"Undinula vulgaris","OBIS"
"Euchaeta rimana","OBIS"
"Subeucalanus subtenuis","OBIS"
"Spinocalanus abyssalis","OBIS"
"Paracalanus aculeatus","OBIS"
"Paracalanus indicus","OBIS"
"Euchaeta longicornis","OBIS"
"Euterpina acutifrons","OBIS"
"Ditrichocorycaeus andrewsi","OBIS"
"Canthocalanus pauper","OBIS"
"Mecynocera clausi","OBIS"
"Euchaeta concinna","OBIS"
"Eucalanus inermis","OBIS"
"Paracalanus parvus","OBIS"
"Pareucalanus attenuatus","OBIS"
"Stygiopontius hispidulus","OBIS"
"Pleuromamma robusta","OBIS"
"Oithona simplex","OBIS"
"Pontellina plumata","OBIS"
"Corycaeus speciosus","OBIS"
"Mesocalanus tenuicornis","OBIS"
"Lucicutia flavicornis","OBIS"
"Scolecitrichopsis ctenopus","OBIS"
"Subeucalanus pileatus","OBIS"
"Pleuromamma gracilis","OBIS"
"Oncaea clevei","OBIS"
"Scolecithrix bradyi","OBIS"
"Aetideus armatus","OBIS"
"Rhincalanus nasutus","OBIS"
"Centropages furcatus","OBIS"
"Acrocalanus gracilis","OBIS"
"Acartia (Acanthacartia) tonsa","OBIS"
"Ditrichocorycaeus dubius","OBIS"
"Rhogobius contractus","OBIS"
"Onychocorycaeus giesbrechti","OBIS"
"Aphotopontius mammillatus","OBIS"
"Haloptilus paralongicirrus","OBIS"
"Pleuromamma abdominalis","OBIS"
"Heterostylites longicornis","OBIS"
"Oithona plumifera","OBIS"
"Oncaea media","OBIS"
"Lucicutia ovalis","OBIS"
"Oncaea venusta","OBIS"
"Labidocera detruncata","OBIS"
"Nilva torifera","OBIS"
"Nannocalanus minor","OBIS"
"Bestiolina similis","OBIS"
"Oithona attenuata","OBIS"
"Aphotopontius arcuatus","OBIS"
"Ceuthoecetes acanthothrix","OBIS"
"Rhincalanus cornutus","OBIS"
"Ceuthoecetes aliger","OBIS"
"Ceuthoecetes cristatus","OBIS"
"Ecbathyrion prolixicauda","OBIS"
"Microsetella rosea","OBIS"
"Scotoecetes introrsus","OBIS"
"Haloptilus ornatus","OBIS"
"Macrosetella gracilis","OBIS"
"Calanopia minor","OBIS"
"Aphotopontius limatulus","OBIS"
"Bestiolina sarae","OBIS"
"Oithona nana","OBIS"
"Stygiopontius cinctiger","OBIS"
"Acrocalanus gibber","OBIS"
"Lucicutia grandis","OBIS"
"Pontellopsis armata","OBIS"
"Clausocalanus minor","OBIS"
"Scolecithrix danae","OBIS"
"Paracalanus quasimodo","OBIS"
"Stygiopontius appositus","OBIS"
"Dioithona rigida","OBIS"
"Oithona tenuis","OBIS"
"Acartia (Odontacartia) lilljeborgii","OBIS"
"Centropages velificatus","OBIS"
"Ceuthoecetes introversus","OBIS"
"Clausocalanus jobei","OBIS"
"Oncorhynchus mykiss","OBIS"
"Rhogobius pressulus","OBIS"
"Aphotopontius baculigerus","OBIS"
"Erebonaster protentipes","OBIS"
"Candacia curta","OBIS"
"Candacia pachydactyla","OBIS"
"Pontellopsis regalis","OBIS"
"Copilia mirabilis","OBIS"
"Sapphirina nigromaculata","OBIS"
"Aphotopontius flexispinus","OBIS"
"Aphotopontius probolus","OBIS"
"Benthoxynus tumidiseta","OBIS"
"Stygiopontius flexus","OBIS"
"Parvocalanus crassirostris","OBIS"
"Temora stylifera","OBIS"
"Corycaeus clausi","OBIS"
"Onychocorycaeus latus","OBIS"
"Aetideus truncatus","OBIS"
"Euchaeta indica","OBIS"
"Pseudodiaptomus wrighti","OBIS"
"Sapphirina opalina","OBIS"
"Acartia (Acartia) danae","OBIS"
"Laitmatobius crinitus","OBIS"
"Pontella danae","OBIS"
"Stygiopontius verruculatus","OBIS"
