"Species","Source"
"Epinephelus labriformis","OBIS"
"Holacanthus passer","OBIS"
"Mycteroperca olfax","OBIS"
"Scarus ghobban","OBIS"
"Bodianus diplotaenia","OBIS"
"Thalassoma lucasanum","OBIS"
"Johnrandallia nigrirostris","OBIS"
"Sufflamen verres","OBIS"
"Ophioblennius steindachneri","OBIS"
"Halichoeres dispilus","OBIS"
"Acanthurus xanthopterus","OBIS"
"Rhincodon typus","OBIS"
"Stegastes beebei","OBIS"
"Lutjanus viridis","OBIS"
"Plagiotremus azaleus","OBIS"
"Cephalopholis panamensis","OBIS"
"Lutjanus argentiventris","OBIS"
"Arothron meleagris","OBIS"
"Mobula birostris","OBIS"
"Cirrhitichthys oxycephalus","OBIS"
"Cephalopholis colonus","OBIS"
"Dermatolepis dermatolepis","OBIS"
"Stegastes arcifrons","OBIS"
"Serranus psittacinus","OBIS"
"Apogon atradorsatus","OBIS"
"Azurina atrilobata","OBIS"
"Halichoeres nicholsi","OBIS"
"Cirrhitus rivulatus","OBIS"
"Scarus rubroviolaceus","OBIS"
"Tylosurus acus","OBIS"
"Abudefduf troschelii","OBIS"
"Mugil thoburni","OBIS"
"Seriola rivoliana","OBIS"
"Acanthocybium solandri","OBIS"
"Sphoeroides annulatus","OBIS"
"Zanclus cornutus","OBIS"
"Melichthys niger","OBIS"
"Chaetodon humeralis","OBIS"
"Canthigaster punctatissima","OBIS"
"Scorpaena mystes","OBIS"
"Semicossyphus darwini","OBIS"
"Caulolatilus princeps","OBIS"
"Lepidonectes corallicola","OBIS"
"Stegastes acapulcoensis","OBIS"
"Paralabrax albomaculatus","OBIS"
"Microspathodon dorsalis","OBIS"
"Bodianus eclancheri","OBIS"
"Elagatis bipinnulata","OBIS"
"Lutjanus guttatus","OBIS"
"Sphyrna lewini","OBIS"
"Girella freminvillii","OBIS"
"Gymnothorax dovii","OBIS"
"Orthopristis forbesi","OBIS"
"Scomberomorus sierra","OBIS"
"Lythrypnus gilberti","OBIS"
"Balistes polylepis","OBIS"
"Muraena lentiginosa","OBIS"
"Mulloidichthys dentatus","OBIS"
"Fistularia commersonii","OBIS"
"Rypticus bicolor","OBIS"
"Scorpaenodes xyris","OBIS"
"Lutjanus novemfasciatus","OBIS"
"Kyphosus elegans","OBIS"
"Aulostomus chinensis","OBIS"
"Coryphopterus urospilus","OBIS"
"Acanthurus nigricans","OBIS"
"Opisthonema libertate","OBIS"
"Anisotremus scapularis","OBIS"
"Diodon holocanthus","OBIS"
"Centropomus armatus","OBIS"
"Myripristis leiognathus","OBIS"
"Triaenodon obesus","OBIS"
"Bathygobius lineatus","OBIS"
"Caranx caballus","OBIS"
"Stegastes flavilatus","OBIS"
"Alphestes immaculatus","OBIS"
"Arothron hispidus","OBIS"
"Caranx melampygus","OBIS"
"Lile stolifera","OBIS"
"Sargocentron suborbitale","OBIS"
"Vinciguerria lucetia","OBIS"
"Haemulon maculicauda","OBIS"
"Scarus perrico","OBIS"
"Hyporhamphus unifasciatus","OBIS"
"Eucinostomus dowii","OBIS"
"Synodus lacertinus","OBIS"
"Microspathodon bairdii","OBIS"
"Haemulon aurolineatum","OBIS"
"Rypticus nigripinnis","OBIS"
"Diogenichthys laternatus","OBIS"
"Synodus scituliceps","OBIS"
"Paralabrax maculatofasciatus","OBIS"
"Apogon retrosella","OBIS"
"Oplegnathus insignis","OBIS"
"Acanthurus triostegus","OBIS"
"Haemulon scudderii","OBIS"
"Diapterus peruvianus","OBIS"
"Etropus crossotus","OBIS"
"Hoplopagrus guentherii","OBIS"
"Hypanus dipterurus","OBIS"
"Scarus compressus","OBIS"
"Coryphaena hippurus","OBIS"
"Nicholsina denticulata","OBIS"
"Pseudobalistes naufragium","OBIS"
"Anisotremus interruptus","OBIS"
"Polydactylus approximans","OBIS"
"Tomicodon petersii","OBIS"
"Mugil galapagensis","OBIS"
"Entomacrodus chiostictus","OBIS"
"Canthidermis maculata","OBIS"
"Kyphosus vaigiensis","OBIS"
"Ctenogobius sagittula","OBIS"
"Trachinotus rhodopus","OBIS"
"Stegastes rectifraenum","OBIS"
"Labrisomus xanti","OBIS"
"Euthynnus affinis","OBIS"
"Albula vulpes","OBIS"
"Symphurus atramentatus","OBIS"
"Syacium ovale","OBIS"
"Prionotus stephanophrys","OBIS"
"Canthigaster janthinoptera","OBIS"
"Sphyraena idiastes","OBIS"
"Malacoctenus tetranemus","OBIS"
"Thalassoma grammaticum","OBIS"
"Bathygobius ramosus","OBIS"
"Rhencus macracanthus","OBIS"
"Haemulopsis leuciscus","OBIS"
"Diodon hystrix","OBIS"
"Malacoctenus hubbsi","OBIS"
"Harengula thrissina","OBIS"
"Gymnothorax panamensis","OBIS"
"Sardinops sagax","OBIS"
"Carcharhinus galapagensis","OBIS"
"Myctophum aurolaternatum","OBIS"
"Selar crumenophthalmus","OBIS"
"Pseudupeneus grandisquamis","OBIS"
"Gobiesox pinniger","OBIS"
"Urobatis halleri","OBIS"
"Acanthemblemaria crockeri","OBIS"
"Myrichthys tigrinus","OBIS"
"Halichoeres notospilus","OBIS"
"Caranx caninus","OBIS"
"Euthynnus lineatus","OBIS"
"Zalieutes elater","OBIS"
"Selene peruviana","OBIS"
"Labrisomus multiporosus","OBIS"
"Doryrhamphus excisus","OBIS"
"Oligoplites saurus","OBIS"
"Oxyporhamphus micropterus","OBIS"
"Pomacanthus zonipectus","OBIS"
"Ophioblennius atlanticus","OBIS"
"Oligoplites altus","OBIS"
"Chilomycterus reticulatus","OBIS"
"Diplectrum pacificum","OBIS"
"Calamus brachysomus","OBIS"
"Benthosema pterotum","OBIS"
"Novaculichthys taeniourus","OBIS"
"Gymnothorax castaneus","OBIS"
"Porichthys margaritatus","OBIS"
"Cratinus agassizii","OBIS"
"Decapterus macarellus","OBIS"
"Hemilutjanus macrophthalmos","OBIS"
"Chromis alta","OBIS"
"Anchoa ischana","OBIS"
"Calamus taurinus","OBIS"
"Cetengraulis mysticetus","OBIS"
"Lythrypnus dalli","OBIS"
"Hypsoblennius brevipinnis","OBIS"
"Apogon dovii","OBIS"
"Enneanectes carminalis","OBIS"
"Peprilus medius","OBIS"
"Chaenomugil proboscideus","OBIS"
"Bagre panamensis","OBIS"
"Abantennarius sanguineus","OBIS"
"Hypsoblennius gentilis","OBIS"
"Trachinotus paitensis","OBIS"
"Haemulon flaviguttatum","OBIS"
"Hippocampus ingens","OBIS"
"Caranx hippos","OBIS"
"Gobiosoma chiquita","OBIS"
"Girella simplicidens","OBIS"
"Lutjanus jordani","OBIS"
"Lutjanus aratus","OBIS"
"Paralichthys californicus","OBIS"
"Elacatinus puncticulatus","OBIS"
"Myrophis vafer","OBIS"
"Haemulon sexfasciatum","OBIS"
"Eucinostomus entomelas","OBIS"
"Argyropelecus lychnus","OBIS"
"Chloroscombrus orqueta","OBIS"
"Kyphosus ocyurus","OBIS"
"Triphoturus mexicanus","OBIS"
"Scomber japonicus","OBIS"
"Synodus evermanni","OBIS"
"Tomicodon boehlkei","OBIS"
"Diapterus brevirostris","OBIS"
"Taeniurops meyeni","OBIS"
"Coryphaena equiselis","OBIS"
"Epinephelus analogus","OBIS"
"Gobiesox adustus","OBIS"
"Fundulus parvipinnis","OBIS"
"Heterodontus quoyi","OBIS"
"Sarda orientalis","OBIS"
"Atherinops affinis","OBIS"
"Atherinella eriarcha","OBIS"
"Chaetodipterus zonatus","OBIS"
"Lampanyctus omostigma","OBIS"
"Acanthemblemaria castroi","OBIS"
"Rhencus panamensis","OBIS"
"Orthopristis reddingi","OBIS"
"Sphoeroides lobatus","OBIS"
"Diplobatis ommata","OBIS"
"Trichiurus lepturus","OBIS"
"Sphoeroides angusticeps","OBIS"
"Peprilus snyderi","OBIS"
"Hyporthodus cifuentesi","OBIS"
"Abudefduf saxatilis","OBIS"
"Malacoctenus zonogaster","OBIS"
