"Species","Source"
"Loxorhynchus grandis","GBIF"
"Neocrangon communis","GBIF"
"Argis ovifer","GBIF"
"Tortanus discaudatus","GBIF"
"Argis levior","GBIF"
"Hemigrapsus oregonensis","GBIF"
"Lepeophtheirus salmonis","GBIF"
"Chiridius gracilis","GBIF"
"Pandalus jordani","GBIF"
"Gnorimosphaeroma oregonense","GBIF"
"Armadillidium vulgare","GBIF"
"Telmessus cheiragonus","GBIF"
"Heptacarpus brevirostris","GBIF"
"Pagurus beringanus","GBIF"
"Pandalus hypsinotus","GBIF"
"Cryptolithodes typicus","GBIF"
"Synidotea nebulosa","GBIF"
"Megalorchestia columbiana","GBIF"
"Traskorchestia traskiana","GBIF"
"Seba bathybia","GBIF"
"Echinocletodes voightae","GBIF"
"Heptacarpus taylori","GBIF"
"Monocorophium acherusicum","GBIF"
"Ampithoe valida","GBIF"
"Americhelidium shoemakeri","GBIF"
"Metopa cistella","GBIF"
"Halicyclops itohi","GBIF"
"Linuparus canadensis","GBIF"
"Ramellogammarus oregonensis","GBIF"
"Diporeia hoyi","GBIF"
"Tessarabrachion oculatum","GBIF"
"Chorilia turgida","GBIF"
"Lycaea pulex","GBIF"
"Mesocalanus tenuicornis","GBIF"
"Allorchestes angusta","GBIF"
"Scleroplax granulata","GBIF"
"Upogebia pugettensis","GBIF"
"Scleroplax faba","GBIF"
"Dynoides canadensis","GBIF"
"Cymadusa uncinata","GBIF"
"Scleroplax littoralis","GBIF"
"Calliopius pacificus","GBIF"
"Crangon franciscorum","GBIF"
"Rhepoxynius vigitegus","GBIF"
"Platyarthrus hoffmannseggii","GBIF"
"Rhamphochela carinata","GBIF"
"Pagurus aleuticus","GBIF"
"Streetsia challengeri","GBIF"
"Bulychevia georgiana","GBIF"
"Metridia lucens","GBIF"
"Hyperoche medusarum","GBIF"
"Synidotea nodulosa","GBIF"
"Melita sulca","GBIF"
"Campylaspis hartae","GBIF"
"Hemilamprops californicus","GBIF"
"Lophomastix altoonaensis","GBIF"
"Macrocheira longirostra","GBIF"
"Branchioplax carmanahensis","GBIF"
"Eudorella pacifica","GBIF"
"Photis bifurcata","GBIF"
"Rhachotropis oculata","GBIF"
"Munida witteae","GBIF"
"Macroacaena schencki","GBIF"
"Americhelidium shoemakeri","GBIF"
"Paromolopsis piersoni","GBIF"
"Heptacarpus stimpsoni","GBIF"
"Photis oligochaeta","GBIF"
"Syrrhoe longifrons","GBIF"
"Cumella morion","GBIF"
"Anatolikos wahkiakumensis","GBIF"
"Nebalia bipes","GBIF"
"Ranidina willapensis","GBIF"
"Macrocheira sullivani","GBIF"
"Gammaropsis shoemakeri","GBIF"
"Faxonius sanbornii","GBIF"
"Naobranchia occidentalis","GBIF"
"Eudactylina acanthii","GBIF"
"Lepeophtheirus bifidus","GBIF"
"Acanthochondria rectangularis","GBIF"
"Paraeuchaeta norvegica","GBIF"
"Rocinela propodialis","GBIF"
"Exosphaeroma inornata","GBIF"
"Chondracanthus irregularis","GBIF"
"Anonyx laticoxae","GBIF"
"Oithona davisae","GBIF"
"Sunamphitoe humeralis","GBIF"
"Megalorchestia californiana","GBIF"
"Orchomenella pinguis","GBIF"
"Caprella incisa","GBIF"
"Tharybis fultoni","GBIF"
"Candacia bipinnata","GBIF"
"Pseudocalanus mimus","GBIF"
"Thysanoessa raschii","GBIF"
"Eualus biunguis","GBIF"
"Eualus fabricii","GBIF"
"Mysidella americana","GBIF"
"Anamixis pacifica","GBIF"
"Xantharus cryeri","GBIF"
"Americhelidium micropleon","GBIF"
"Scina borealis","GBIF"
"Petrolisthes manimaculis","GBIF"
"Crangon nigricauda","GBIF"
"Salmincola edwardsii","GBIF"
"Argis crassa","GBIF"
"Urocopia singularis","GBIF"
"Ampelisca brevisimulata","GBIF"
"Onychodiaptomus hesperus","GBIF"
"Joeropsis setosa","GBIF"
"Spinomonstrilla spinosa","GBIF"
"Chirundina streetsii","GBIF"
"Heptacarpus franciscanus","GBIF"
"Hippomedon tracatrix","GBIF"
"Barathricola rimensis","GBIF"
"Azygokeras columbiae","GBIF"
"Palaemon kadiakensis","GBIF"
"Ione cornuta","GBIF"
"Rhepoxynius daboius","GBIF"
"Photis conchicola","GBIF"
"Anchicolurus occidentalis","GBIF"
"Photis lacia","GBIF"
"Mandibulophoxus uncirostratus","GBIF"
"Pandalus lucidirimicola","GBIF"
"Amathillopsis pacifica","GBIF"
"Pentidotea montereyensis","GBIF"
"Eusergestes similis","GBIF"
"Acidostoma hancocki","GBIF"
"Pagurus setosus","GBIF"
"Synidotea bicuspida","GBIF"
"Alienacanthomysis macropsis","GBIF"
"Scypholanceola aestiva","GBIF"
"Ericthonius brasiliensis","GBIF"
"Desdimelita desdichada","GBIF"
"Megalorchestia benedicti","GBIF"
"Ericthonius rubricornis","GBIF"
"Spirontocaris holmesi","GBIF"
"Rhynchothalestris helgolandica","GBIF"
"Stygiopontius quadrispinosus","GBIF"
"Ambilimbus altalis","GBIF"
"Campylaspis rubicunda","GBIF"
"Maera jerrica","GBIF"
"Foxiphalus similis","GBIF"
"Pandalus ampla","GBIF"
"Byblis millsi","GBIF"
"Neocrangon resima","GBIF"
"Pseudobradya lanceta","GBIF"
"Rhincalanus nasutus","GBIF"
"Stilipes distinctus","GBIF"
"Spinocalanus longicornis","GBIF"
"Holophryxus alaskensis","GBIF"
"Neocalanus flemingeri","GBIF"
"Calocarides quinqueseriatus","GBIF"
"Heptacarpus brevirostris","GBIF"
"Thorlaksonius depressus","GBIF"
"Nannocalanus minor","GBIF"
"Americorophium salmonis","GBIF"
"Exosphaeroma media","GBIF"
"Munidopsis scabra","GBIF"
"Anonyx nugax","GBIF"
"Diosaccus spinatus","GBIF"
"Triconia redacta","GBIF"
"Anisostenhelia asetosa","GBIF"
"Vibilia australis","GBIF"
"Diastylis paraspinulosa","GBIF"
"Triconia derivata","GBIF"
"Eualus barbatus","GBIF"
"Haplostomella reducta","GBIF"
"Caprella bathytatos","GBIF"
"Aphotopontius forcipatus","GBIF"
"Zanthopsis rathbunae","GBIF"
"Callianassa whiteavesi","GBIF"
"Ctenocheles hokoensis","GBIF"
"Orchomenella pacifica","GBIF"
"Acanthodiaulax mclayi","GBIF"
"Cheiriphotis megacheles","GBIF"
"Ceradocus spinicauda","GBIF"
"Paramoera mohri","GBIF"
"Caprella pustulata","GBIF"
"Laticorophium baconi","GBIF"
"Macroacaena schencki","GBIF"
"Jassa slatteryi","GBIF"
"Harpacticus uniremis","GBIF"
"Epimeria cora","GBIF"
"Calliopius laeviusculus","GBIF"
"Iliacantha subglobosa","GBIF"
"Ramellogammarus littoralis","GBIF"
"Spirontocaris dalli","GBIF"
"Mandibulophoxus alaskensis","GBIF"
"Monocorophium californianum","GBIF"
"Proneomysis wailesi","GBIF"
"Pagurus mertensii","GBIF"
"Carinonajna bicarinata","GBIF"
"Dulichiella appendiculata","GBIF"
"Hemilamprops gracilis","GBIF"
"Stygobromus lanensis","GBIF"
"Podoceropsis chionoecetophila","GBIF"
"Caprella ungulina","GBIF"
"Hippomedon columbianus","GBIF"
"Quadrimaera vigota","GBIF"
"Haploops tubicola","GBIF"
"Dynamenella perforata","GBIF"
"Kamptopleustes coquillus","GBIF"
"Lamprops fuscatus","GBIF"
"Cryptodius unguidactylus","GBIF"
"Lebbeus polaris","GBIF"
"Faxonius sanbornii","GBIF"
"Sclerocrangon boreas","GBIF"
"Holopleustes aequipes","GBIF"
"Eucopia grimaldii","GBIF"
"Holmesimysis sculptoides","GBIF"
"Ericthonius difformis","GBIF"
"Mandibulophoxus gilesi","GBIF"
"Gaetanus brevispinus","GBIF"
"Paraeuchaeta californica","GBIF"
"Maera bousfieldi","GBIF"
"Acanthochondria vancouverensis","GBIF"
"Thorlaksonius carinatus","GBIF"
"Megamoera borealis","GBIF"
"Ptilohyale plumulosus","GBIF"
"Neocrangon resima","GBIF"
"Ampelisca cristoides","GBIF"
"Aristias curtipes","GBIF"
"Dynamene benedicti","GBIF"
"Cercops compactus","GBIF"
"Eusirella multicalceola","GBIF"
"Clavella perfida","GBIF"
"Paraeuchaeta elongata","GBIF"
"Phyllolithodes papillosus","GBIF"
"Panulirus interruptus","GBIF"
"Lopholithodes mandtii","GBIF"
"Leptostylis villosa","GBIF"
"Sunamphitoe lindbergi","GBIF"
"Caprella mendax","GBIF"
"Scyllarella manleyi","GBIF"
"Exosphaeroma amplicauda","GBIF"
"Lophopanopeus bellus","GBIF"
"Deutella californica","GBIF"
"Mursia marcusana","GBIF"
"Ptilohyale plumulosus","GBIF"
"Grimothea quadrispina","GBIF"
"Thysanoessa spinifera","GBIF"
"Protohyale jarrettae","GBIF"
"Heptacarpus tridens","GBIF"
"Parallorchestes cowani","GBIF"
"Ampelisca hancocki","GBIF"
"Protohyale frequens","GBIF"
"Microjassa barnardi","GBIF"
"Pagurus spina","GBIF"
"Chionoecetes bairdi","GBIF"
"Lepeophtheirus parvicruris","GBIF"
"Rathbunixa occidentalis","GBIF"
"Branchiolambrus altus","GBIF"
"Cyphocaris challengeri","GBIF"
"Heptacarpus kincaidi","GBIF"
"Pandalus danae","GBIF"
"Hemiarthrus abdominalis","GBIF"
"Paguristes turgidus","GBIF"
"Paracalliopiella pratti","GBIF"
"Rocinela tridens","GBIF"
"Megalorchestia californiana","GBIF"
"Lophopanopeus diegensis","GBIF"
"Raninoides dickersoni","GBIF"
"Synapseudes intumescens","GBIF"
"Pinnixa rathbuni","GBIF"
"Amphiascopsis cinctus","GBIF"
"Carinonajna barnardi","GBIF"
"Ampithoe lacertosa","GBIF"
"Apohyale pugettensis","GBIF"
"Eualus subtilis","GBIF"
"Ampithoe simulans","GBIF"
"Pontogeneia rostrata","GBIF"
"Callianassa knapptonensis","GBIF"
"Pakynus barnardi","GBIF"
"Heptacarpus stylus","GBIF"
"Pacifastacus leniusculus","GBIF"
"Crangon handi","GBIF"
"Pentidotea montereyensis","GBIF"
"Ligidium gracile","GBIF"
"Faxonius neglectus","GBIF"
"Canuella canadensis","GBIF"
"Heptacarpus kincaidi","GBIF"
"Lebbeus mundus","GBIF"
"Eohaustorius sawyeri","GBIF"
"Boreomysis inermis","GBIF"
"Spirontocaris truncata","GBIF"
"Argis crassa","GBIF"
"Haplostomella dubia","GBIF"
"Heptacarpus carinatus","GBIF"
"Calanus helgolandicus","GBIF"
"Primno abyssalis","GBIF"
"Faxonius transfuga","GBIF"
"Haplostoma ambiguum","GBIF"
"Pagurus hartae","GBIF"
"Acanthamunnopsis milleri","GBIF"
"Dactylerythrops latisquamosa","GBIF"
"Chondrochelia dubia","GBIF"
"Gammarus lacustris","GBIF"
"Photis macinerneyi","GBIF"
"Fabia concharum","GBIF"
"Munidopsis latirostris","GBIF"
"Eualus avinus","GBIF"
"Neotrypaea californiensis","GBIF"
"Clavella uncinata","GBIF"
"Acanthochondria epachthes","GBIF"
"Neotrypaea gigas","GBIF"
"Pacifastacus leniusculus","GBIF"
"Hippolyte californiensis","GBIF"
"Longusorbis cuniculosus","GBIF"
"Scaphocalanus brevicornis","GBIF"
"Undeuchaeta intermedia","GBIF"
"Heptacarpus moseri","GBIF"
"Clytemnestra scutellata","GBIF"
"Oncaea media","GBIF"
"Ctenocalanus vanus","GBIF"
"Hansarsia difficilis","GBIF"
"Paracalanus indicus","GBIF"
"Undeuchaeta plumosa","GBIF"
"Halicoides lolo","GBIF"
"Hippomedon denticulatus","GBIF"
"Pontogeneia inermis","GBIF"
"Eohaustorius washingtonianus","GBIF"
"Euchirella rostrata","GBIF"
"Tryphana malmii","GBIF"
"Hartmanodes hartmanae","GBIF"
"Munidopsis pallida","GBIF"
"Upogebia barti","GBIF"
"Americorophium brevis","GBIF"
"Bentheogennema borealis","GBIF"
"Cyamus boopis","GBIF"
"Porcellio laevis","GBIF"
"Crangon nigromaculata","GBIF"
"Hesperodiaptomus shoshone","GBIF"
"Apohyale pugettensis","GBIF"
"Foxiphalus cognatus","GBIF"
"Wecomedon wecomus","GBIF"
"Monothula subtilis","GBIF"
"Pseudoamallothrix ovata","GBIF"
"Diastylis umatillensis","GBIF"
"Coeloma martinezensis","GBIF"
"Gilvossius candidus","GBIF"
"Callianopsis clallamensis","GBIF"
"Macrocheira columbiaensis","GBIF"
"Callianassa umpquaensis","GBIF"
"Megokkos feldmanni","GBIF"
"Cancer coosensis","GBIF"
"Anonyx lilljeborgi","GBIF"
"Shinkaia katapsyxis","GBIF"
"Pseudotanais californiensis","GBIF"
"Herbstia parvifrons","GBIF"
"Cystisoma fabricii","GBIF"
"Americorophium spinicorne","GBIF"
"Pagurus brandti","GBIF"
"Lophaxius investigatoris","GBIF"
"Oediceroides abyssorum","GBIF"
"Eriocheir japonica","GBIF"
"Stygobromus wahkeenensis","GBIF"
"Synidotea cornuta","GBIF"
"Cyamus mesorubraedon","GBIF"
"Caprella rudiuscula","GBIF"
"Microjassa boreopacifica","GBIF"
"Romaleon gibbosulum","GBIF"
"Parapleustes americanus","GBIF"
"Pinnotheres pisum","GBIF"
"Thorlaksonius truncatus","GBIF"
"Eudorella tridentata","GBIF"
"Eyakia robusta","GBIF"
"Acanthochondria dojirii","GBIF"
"Parametaphoxus quaylei","GBIF"
"Alamprops quadriplicatus","GBIF"
"Hansarsia difficilis","GBIF"
"Boreomysis californica","GBIF"
"Zeuxo normani","GBIF"
"Mesopleustes abyssorum","GBIF"
"Bemlos concavus","GBIF"
"Lophothrix frontalis","GBIF"
"Ramellogammarus columbianus","GBIF"
"Lucicutia bicornuta","GBIF"
"Dynamene glabra","GBIF"
"Pandalus montagui","GBIF"
"Stygobromus saltuaris","GBIF"
"Quadrimaera reishi","GBIF"
"Pagurus townsendi","GBIF"
"Eogammarus confervicolus","GBIF"
"Munidopsis aries","GBIF"
"Pontogeneia ivanovi","GBIF"
"Photis pachydactyla","GBIF"
"Cheirimedeia macrocarpa","GBIF"
"Thermosphaeroma dugesi","GBIF"
"Parallorchestes leblondi","GBIF"
"Herrmannella saxidomi","GBIF"
"Doridicola sunnivae","GBIF"
"Euchirella formosa","GBIF"
"Desdimelita desdichada","GBIF"
"Pylopagurus holmesi","GBIF"
"Enteropsis roscoffensis","GBIF"
"Incisocalliope derzhavini","GBIF"
"Heterophoxus oculatus","GBIF"
"Polycheria carinata","GBIF"
"Rocinela belliceps","GBIF"
"Chevalia aviculae","GBIF"
"Centropages abdominalis","GBIF"
"Ampithoe rubricata","GBIF"
"Paraphronima crassipes","GBIF"
"Archaeomysis grebnitzkii","GBIF"
"Monoculodes brevirostris","GBIF"
"Heptacarpus palpator","GBIF"
"Eualus macrophthalmus","GBIF"
"Lebbeus grandimanus","GBIF"
"Chondracanthus pinguis","GBIF"
"Aoroides intermedius","GBIF"
"Metacrangon munita","GBIF"
"Heptacarpus tenuissimus","GBIF"
"Gnorimosphaeroma insulare","GBIF"
"Rocinela americana","GBIF"
"Palaemon macrodactylus","GBIF"
"Eualus macrophthalmus","GBIF"
"Pachygrapsus crassipes","GBIF"
"Alienacanthomysis macropsis","GBIF"
"Acartia tonsa","GBIF"
"Spirontocaris holmesi","GBIF"
"Hourstonius vilordes","GBIF"
