"Species","Source"
"Pseudobatos percellens","GBIF"
"Carcharhinus melanopterus","GBIF"
"Pseudobatos lentiginosus","GBIF"
"Sphyrna lewini","GBIF"
"Holohalaelurus melanostigma","GBIF"
"Rhincodon typus","GBIF"
"Triaenodon obesus","GBIF"
"Fontitrygon margarita","GBIF"
"Gurgesiella atlantica","GBIF"
"Gymnura micrura","GBIF"
"Plesiotrygon iwamae","GBIF"
"Pateobatis uarnacoides","GBIF"
"Taeniura lymma","GBIF"
"Pastinachus gracilicaudus","GBIF"
"Chiloscyllium indicum","GBIF"
"Carcharhinus dussumieri","GBIF"
"Atelomycterus marmoratus","GBIF"
"Potamotrygon amazona","GBIF"
"Negaprion brevirostris","GBIF"
"Potamotrygon motoro","GBIF"
"Anoxypristis cuspidata","GBIF"
"Aetobatus ocellatus","GBIF"
"Taeniurops meyeni","GBIF"
"Potamotrygon wallacei","GBIF"
"Eusphyra blochii","GBIF"
"Carcharhinus amblyrhynchos","GBIF"
"Maculabatis gerrardi","GBIF"
"Chiloscyllium punctatum","GBIF"
"Hypanus marianae","GBIF"
"Chiloscyllium hasseltii","GBIF"
"Paratrygon aiereba","GBIF"
"Sphyrna lewini","GBIF"
"Pastinachus solocirostris","GBIF"
"Gymnura poecilura","GBIF"
"Fluvitrygon signifer","GBIF"
"Mobula birostris","GBIF"
"Mobula japanica","GBIF"
"Glaucostegus cemiculus","GBIF"
"Eucrossorhinus dasypogon","GBIF"
"Mobula alfredi","GBIF"
"Rhizoprionodon lalandii","GBIF"
"Carcharhinus longimanus","GBIF"
"Potamotrygon scobina","GBIF"
"Neotrygon varidens","GBIF"
"Potamotrygon orbignyi","GBIF"
"Rhynchobatus australiae","GBIF"
"Isistius brasiliensis","GBIF"
"Carcharhinus falciformis","GBIF"
"Galeus polli","GBIF"
"Carcharhinus porosus","GBIF"
"Gymnura crebripunctata","GBIF"
"Pseudobatos prahli","GBIF"
"Neoharriotta pinnata","GBIF"
"Raja straeleni","GBIF"
"Rajella barnardi","GBIF"
"Rhizoprionodon porosus","GBIF"
"Neotrygon orientale","GBIF"
"Mustelus whitneyi","GBIF"
"Hypanus guttatus","GBIF"
"Neotrygon moluccensis","GBIF"
"Hypanus longus","GBIF"
"Urobatis tumbesensis","GBIF"
"Fontitrygon margaritella","GBIF"
"Carcharhinus leucas","GBIF"
"Pastinachus ater","GBIF"
"Carcharhinus sorrah","GBIF"
"Rhinoptera steindachneri","GBIF"
"Hemiscyllium freycineti","GBIF"
"Aetomylaeus milvus","GBIF"
"Urotrygon rogersi","GBIF"
"Gymnura marmorata","GBIF"
"Hypanus dipterurus","GBIF"
"Orectolobus maculatus","GBIF"
"Carcharhinus limbatus","GBIF"
"Urogymnus granulatus","GBIF"
"Maculabatis pastinacoides","GBIF"
"Mobula birostris","GBIF"
"Potamotrygon schroederi","GBIF"
"Diplobatis pictus","GBIF"
"Aetobatus ocellatus","GBIF"
"Myliobatis aquila","GBIF"
"Carcharhinus cerdale","GBIF"
"Pristis pristis","GBIF"
"Carcharhinus albimarginatus","GBIF"
"Sphyrna mokarran","GBIF"
"Mustelus higmani","GBIF"
"Pateobatis jenkinsii","GBIF"
"Fluvitrygon oxyrhynchus","GBIF"
"Fluvitrygon signifer","GBIF"
"Potamotrygon humerosa","GBIF"
"Aetobatus narinari","GBIF"
"Neotrygon kuhlii","GBIF"
"Hypanus berthalutzae","GBIF"
"Sphyrna tiburo","GBIF"
"Pseudobatos leucorhynchus","GBIF"
"Pastinachus sephen","GBIF"
"Carcharhinus acronotus","GBIF"
"Galeocerdo cuvier","GBIF"
"Sphyrna zygaena","GBIF"
"Narcine leoparda","GBIF"
"Zapteryx xyster","GBIF"
"Stegostoma fasciatum","GBIF"
"Atelomycterus erdmanni","GBIF"
"Eptatretus mccoskeri","GBIF"
"Pteroplatytrygon violacea","GBIF"
"Urotrygon chilensis","GBIF"
"Euprotomicrus bispinatus","GBIF"
"Nasolamia velox","GBIF"
"Mobula munkiana","GBIF"
"Pseudobatos leucorhynchus","GBIF"
"Hemiscyllium halmahera","GBIF"
"Aetobatus laticeps","GBIF"
"Brevitrygon heterura","GBIF"
"Pseudobatos prahli","GBIF"
"Urolophus halleri","GBIF"
"Narcine entemedor","GBIF"
"Raja velezi","GBIF"
"Prionace glauca","GBIF"
"Torpedo torpedo","GBIF"
"Rhinobatos albomaculatus","GBIF"
"Carcharhinus sealei","GBIF"
"Sphyrna corona","GBIF"
"Gymnura sereti","GBIF"
"Narcine bancroftii","GBIF"
"Pseudobatos percellens","GBIF"
"Himantura schmardae","GBIF"
"Hypanus guttatus","GBIF"
"Loxodon macrorhinus","GBIF"
"Pristis pectinata","GBIF"
"Fontitrygon geijskesi","GBIF"
"Mobula thurstoni","GBIF"
"Rhizoprionodon acutus","GBIF"
"Pristis perotteti","GBIF"
"Carcharhinus isodon","GBIF"
"Rhynchobatus djiddensis","GBIF"
"Mobula tarapacana","GBIF"
"Narcine brasiliensis","GBIF"
"Aetomylaeus vespertilio","GBIF"
"Scoliodon macrorhynchos","GBIF"
"Mobula kuhlii","GBIF"
"Gymnura afuerae","GBIF"
"Nebrius ferrugineus","GBIF"
"Carcharhinus tjutjot","GBIF"
"Tetronarce tremens","GBIF"
"Urogymnus polylepis","GBIF"
"Leptocharias smithii","GBIF"
"Rhinobatos irvinei","GBIF"
"Potamotrygon constellata","GBIF"
"Scoliodon laticaudus","GBIF"
"Hydrolagus mirabilis","GBIF"
"Etmopterus brachyurus","GBIF"
"Taeniurops meyeni","GBIF"
"Scyliorhinus cervigoni","GBIF"
"Squatina oculata","GBIF"
"Stegostoma fasciatum","GBIF"
"Centrophorus granulosus","GBIF"
"Himantura uarnak","GBIF"
"Rhizoprionodon lalandii","GBIF"
"Squalus megalops","GBIF"
"Mustelus mustelus","GBIF"
"Brevitrygon imbricata","GBIF"
"Tetronarce nobiliana","GBIF"
"Galeus melastomus","GBIF"
"Dipturus doutrei","GBIF"
"Bathyraja hesperafricana","GBIF"
"Rajella barnardi","GBIF"
"Alopias vulpinus","GBIF"
"Cetorhinus maximus","GBIF"
"Urotrygon simulatrix","GBIF"
"Hemiscyllium ocellatum","GBIF"
"Himantura uarnak","GBIF"
