"Species","Source"
"Eptatretus mccoskeri","GBIF"
"Plesiotrygon iwamae","GBIF"
"Narcine vermiculatus","GBIF"
"Apristurus kampae","GBIF"
"Myliobatis longirostris","GBIF"
"Platyrhinoidis triseriata","GBIF"
"Urotrygon munda","GBIF"
"Urotrygon aspidura","GBIF"
"Zapteryx exasperata","GBIF"
"Rubicundus lakeside","GBIF"
"Hypanus longus","GBIF"
"Hypanus dipterurus","GBIF"
"Urotrygon rogersi","GBIF"
"Eptatretus mcconnaugheyi","GBIF"
"Pseudobatos leucorhynchus","GBIF"
"Myliobatis californica","GBIF"
"Gymnura marmorata","GBIF"
"Carcharhinus longimanus","GBIF"
"Raja cortezensis","GBIF"
"Carcharhinus limbatus","GBIF"
"Narcine brasiliensis","GBIF"
"Eptatretus grouseri","GBIF"
"Parmaturus xaniurus","GBIF"
"Urobatis concentricus","GBIF"
"Myliobatis freminvillei","GBIF"
"Urotrygon munda","GBIF"
"Rhizoprionodon longurio","GBIF"
"Hydrolagus colliei","GBIF"
"Mobula birostris","GBIF"
"Negaprion brevirostris","GBIF"
"Urotrygon chilensis","GBIF"
"Mustelus henlei","GBIF"
"Mobula mobular","GBIF"
"Heterodontus quoyi","GBIF"
"Urobatis maculatus","GBIF"
"Heterodontus mexicanus","GBIF"
"Myliobatis aquila","GBIF"
"Carcharhinus leucas","GBIF"
"Squatina californica","GBIF"
"Mustelus californicus","GBIF"
"Bathyraja trachura","GBIF"
"Carcharhinus albimarginatus","GBIF"
"Dasyatis marmorata","GBIF"
"Sphyrna mokarran","GBIF"
"Carcharhinus falciformis","GBIF"
"Galeocerdo cuvier","GBIF"
"Sphyrna zygaena","GBIF"
"Etmopterus virens","GBIF"
"Carcharhinus limbatus","GBIF"
"Eptatretus stoutii","GBIF"
"Nasolamia velox","GBIF"
"Raja equatorialis","GBIF"
"Tetronarce californica","GBIF"
"Raja inornata","GBIF"
"Carcharhinus porosus","GBIF"
"Apristurus stenseni","GBIF"
"Centroscyllium nigrum","GBIF"
"Rhincodon typus","GBIF"
"Galeorhinus galeus","GBIF"
"Pseudobatos productus","GBIF"
"Eptatretus bobwisneri","GBIF"
"Myxine circifrons","GBIF"
"Gymnura crebripunctata","GBIF"
"Mobula munkiana","GBIF"
"Narcine leoparda","GBIF"
"Beringraja binoculata","GBIF"
"Galeus piperatus","GBIF"
"Aetobatus narinari","GBIF"
"Triaenodon obesus","GBIF"
"Pseudobatos productus","GBIF"
"Neotrygon kuhlii","GBIF"
"Eptatretus sinus","GBIF"
"Urolophus halleri","GBIF"
"Urobatis maculatus","GBIF"
"Dasyatis brevis","GBIF"
"Pseudobatos glaucostigmus","GBIF"
"Carcharhinus galapagensis","GBIF"
"Mustelus lunulatus","GBIF"
"Rajella eisenhardti","GBIF"
"Heterodontus francisci","GBIF"
"Prionace glauca","GBIF"
"Diplobatis ommata","GBIF"
"Triakis semifasciata","GBIF"
"Ginglymostoma cirratum","GBIF"
"Narcine entemedor","GBIF"
"Myliobatis peruvianus","GBIF"
"Hypanus longus","GBIF"
"Tetronarce nobiliana","GBIF"
"Pseudobatos leucorhynchus","GBIF"
"Sphyrna lewini","GBIF"
"Raja velezi","GBIF"
"Rhinoptera steindachneri","GBIF"
"Amblyraja badia","GBIF"
"Pseudobatos glaucostigmus","GBIF"
"Bathyraja spinosissima","GBIF"
"Hexanchus griseus","GBIF"
"Mustelus albipinnis","GBIF"
"Narcine bancroftii","GBIF"
"Mobula thurstoni","GBIF"
"Urobatis tumbesensis","GBIF"
"Taeniurops meyeni","GBIF"
"Aetobatus ocellatus","GBIF"
"Aetobatus laticeps","GBIF"
"Urolophus halleri","GBIF"
"Mobula birostris","GBIF"
"Ginglymostoma unami","GBIF"
"Styracura pacifica","GBIF"
"Isurus","GBIF"
"Hypanus dipterurus","GBIF"
"Urobatis pardalis","GBIF"
"Notoraja martinezi","GBIF"
"Urotrygon simulatrix","GBIF"
"Carcharhinus priscus","GBIF"
"Sphyrna media","GBIF"
"Carcharias megalodon","GBIF"
"Isistius triangulus","GBIF"
"Rhizoprionodon","GBIF"
"Carcharhinus egertoni","GBIF"
"Lamna acutissima","GBIF"
"Galeus aduncus","GBIF"
"Carcharodon carcharias","GBIF"
"Etmopterus benchleyi","GBIF"
"Pseudobatos buthi","GBIF"
"Taeniurops meyeni","GBIF"
"Carcharhinus cerdale","GBIF"
"Isurus oxyrinchus","GBIF"
"Tetronarce tremens","GBIF"
"Mustelus mento","GBIF"
"Raja velezi","GBIF"
"Scoliodon","GBIF"
"Carcharhinus obscurus","GBIF"
"Lamna eurybathrodon","GBIF"
"Pseudobatos prahli","GBIF"
"Carcharhinus","GBIF"
"Zapteryx xyster","GBIF"
"Cephaloscyllium ventriosum","GBIF"
"Pteroplatytrygon violacea","GBIF"
"Mustelus whitneyi","GBIF"
"Myxine hubbsi","GBIF"
"Carcharhinus falciformis","GBIF"
"Pseudobatos planiceps","GBIF"
"Somniosus pacificus","GBIF"
"Aetobatus narinari","GBIF"
"Harriotta raleighana","GBIF"
"Alopias superciliosus","GBIF"
"Notorynchus cepedianus","GBIF"
"Squalus suckleyi","GBIF"
"Mustelus dorsalis","GBIF"
"Alopias pelagicus","GBIF"
"Carcharhinus altimus","GBIF"
"Pristis pectinata","GBIF"
"Hydrolagus melanophasma","GBIF"
