"Species","Source"
"Albula esuncula","Local_csv"
"Anguilla marmorata","Local_csv"
"Chlopsis bicollaris","Local_csv"
"Paraconger californiensis","Local_csv"
"Anarchias galapagensis","Local_csv"
"Enchelycore lichenosa","Local_csv"
"Enchelycore octaviana","Local_csv"
"Gymnomuraena zebra","Local_csv"
"Gymnothorax buroensis","Local_csv"
"Gymnothorax dovii","Local_csv"
"Gymnothorax flavimarginatus","Local_csv"
"Gymnothorax meleagris","Local_csv"
"Muraena argus","Local_csv"
"Muraena clepsydra","Local_csv"
"Muraena lentiginosa","Local_csv"
"Myroconger nigrodentatus","Local_csv"
"Facciolella equatorialis","Local_csv"
"Ophichtus triserialis","Local_csv"
"Ariosoma gilberti","Local_csv"
"Gnathophis cinctus","Local_csv"
"Heteroconger klausewitzi","Local_csv"
"Paraconger similis","Local_csv"
"Chiloconger dentatus","Local_csv"
"Xenomystax atrarius","Local_csv"
"Apterichtus equatorialis","Local_csv"
"Callechelys galapagensis","Local_csv"
"Herpetoichthys fossatus","Local_csv"
"Ichthyapus selachops","Local_csv"
"Myrichthys maculosus","Local_csv"
"Myrichthys tigrinus","Local_csv"
"Myrichthys xysturus","Local_csv"
"Ophichthus arneutes","Local_csv"
"Ophichthus rugifer","Local_csv"
"Phaenomonas pinnata","Local_csv"
"Quassiremus evionthas","Local_csv"
"Paraletharchus opercularis","Local_csv"
"Scytalichthys miurus","Local_csv"
"Echidna nebulosa","Local_csv"
"Echidna nocturna","Local_csv"
"Scuticaria tigrina","Local_csv"
"Uropterygius macrocephalus","Local_csv"
"Uropterygius polystictus","Local_csv"
"Uropterygius versutus","Local_csv"
"Gymnothorax angusticeps","Local_csv"
"Gymnothorax castaneus","Local_csv"
"Gymnothorax javanicus","Local_csv"
"Gymnothorax panamensis","Local_csv"
"Gymnothorax pictus","Local_csv"
"Guentherus altivela","Local_csv"
"Atherinella nesiotes","Local_csv"
"Melanorhinus cyanellus","Local_csv"
"Alepisaurus cf. ferox","Local_csv"
"Aulopus bajacali","Local_csv"
"Chlorophthalmus mento","Local_csv"
"Bathypterois atricolor","Local_csv"
"Ipnops agassizii","Local_csv"
"Synodus lacertinus","Local_csv"
"Synodus lucioceps","Local_csv"
"Synodus scituliceps","Local_csv"
"Porichthys margaritatus","Local_csv"
"Ablennes hians","Local_csv"
"Platybelone argalus","Local_csv"
"Strongylura exilis","Local_csv"
"Tylosurus crocodilus","Local_csv"
"Tylosurus pacificus","Local_csv"
"Cheilopogon atrisignis","Local_csv"
"Cheilopogon dorsomacula","Local_csv"
"Cheilopogon furcatus","Local_csv"
"Cheilopogon spilonotopterus","Local_csv"
"Cheilopogon xenopterus","Local_csv"
"Cypselurus callopterus","Local_csv"
"Exocoetus monocirrhus","Local_csv"
"Exocoetus volitans","Local_csv"
"Hirundichthys marginatus","Local_csv"
"Hirundichthys rondeletii","Local_csv"
"Hirundichthys speculiger","Local_csv"
"Oxyporhamphus micropterus","Local_csv"
"Prognichthys sealei","Local_csv"
"Prognichthys tringa","Local_csv"
"Euleptorhamphus viridis","Local_csv"
"Hemiramphus saltator","Local_csv"
"Hyporhamphus gilli","Local_csv"
"Hyporhamphus naos","Local_csv"
"Hyporhamphus snyderi","Local_csv"
"Hyporhamphus unifasciatus","Local_csv"
"Myripristis berndti","Local_csv"
"Myripristis leiognathus","Local_csv"
"Hoplostethus pacificus","Local_csv"
"Sargocentron suborbitalis","Local_csv"
"Etrumeus teres","Local_csv"
"Lile stolifera","Local_csv"
"Opisthonema berlangai","Local_csv"
"Opisthonema libertate","Local_csv"
"Sardinops sagax","Local_csv"
"Anchoa ischana","Local_csv"
"Cetengraulis mysticetus","Local_csv"
"Engraulis ringens","Local_csv"
"Elops affinis","Local_csv"
"Bregmaceros mcclellandi","Local_csv"
"Mataeocephalus tenuicauda","Local_csv"
"Nezumia convergens","Local_csv"
"Nezumia stelgidolepis","Local_csv"
"Nezumia ventralis","Local_csv"
"Trachyrincus helolepis","Local_csv"
"Coryphaenoides anguliceps","Local_csv"
"Coryphaenoides armatus","Local_csv"
"Coryphaenoides boops","Local_csv"
"Coryphaenoides bucephalus","Local_csv"
"Coryphaenoides bulbiceps","Local_csv"
"Coryphaenoides delsolari","Local_csv"
"Coryphaenoides gypsochilus","Local_csv"
"Coryphaenoides myersi","Local_csv"
"Coelorinchus canus","Local_csv"
"Merluccius gayi","Local_csv"
"Antimora rostrata","Local_csv"
"Gadella filifer","Local_csv"
"Gadella thysthlon","Local_csv"
"Laemonema gracillipes","Local_csv"
"Physiculus nematopus","Local_csv"
"Fistularia corneta","Local_csv"
"Chanos chanos","Local_csv"
"Zu cristatus","Local_csv"
"Antennarius sanguineus","Local_csv"
"Antennatus strigatus","Local_csv"
"Lophiodes caulinaris","Local_csv"
"Lophiodes spilurus","Local_csv"
"Lophiodon spilurus","Local_csv"
"Lophiomus setigerus","Local_csv"
"Ogcocephalus darwini","Local_csv"
"Antennarius avalonis","Local_csv"
"Antennarius coccineus","Local_csv"
"Antennarius commerson","Local_csv"
"Dibranchus cracens","Local_csv"
"Dibranchus discors","Local_csv"
"Dibranchus erinaceus","Local_csv"
"Dibranchus hystrix","Local_csv"
"Halieutopsis tumifrons","Local_csv"
"Agonostomus monticola","Local_csv"
"Chaenomugil proboscideus","Local_csv"
"Mugil cephalus","Local_csv"
"Mugil curema","Local_csv"
"Mugil rammelsbergi","Local_csv"
"Xenomugil thoburni","Local_csv"
"Diogenichthys laternatus","Local_csv"
"Lampanyctus omostigma","Local_csv"
"Myctophum aurolaternatum","Local_csv"
"Myctophum nitidulum","Local_csv"
"Halosaurus attenuatus","Local_csv"
"Cataetyx simus","Local_csv"
"Diplacanthopoma jordani","Local_csv"
"Grammonus diagrammus","Local_csv"
"Lucifuga inopinata","Local_csv"
"Ogilbia deroyi","Local_csv"
"Ogilbia galapagosensis","Local_csv"
"Calamopteryx jeb","Local_csv"
"Pseudonus acutus","Local_csv"
"Carapus dubius","Local_csv"
"Echiodon exsilium","Local_csv"
"Encheliophis vermicularis","Local_csv"
"Bathyonus caudalis","Local_csv"
"Brotula ordwayi","Local_csv"
"Monomitopus malispinosus","Local_csv"
"Otophidium indefatigabile","Local_csv"
"Dicrolene nigra","Local_csv"
"Eretmichthys pinnatus","Local_csv"
"Petrotyx hopkinsi","Local_csv"
"Bathytroctes macrolepis","Local_csv"
"Narcetes erimelas","Local_csv"
"Argentina aliceae","Local_csv"
"Acanthurus triostegus","Local_csv"
"Prionurus laticlavius","Local_csv"
"Ammodytoides gilli","Local_csv"
"Apogon atradorsatus","Local_csv"
"Apogon dovii","Local_csv"
"Apogon pacificus","Local_csv"
"Ophioblennius steindachneri","Local_csv"
"Plagiotremus azaleus","Local_csv"
"Brama dussumieri","Local_csv"
"Taractes rubescens","Local_csv"
"Synchiropus atrilabiatus","Local_csv"
"Alectis ciliaris","Local_csv"
"Carangoides orthogrammus","Local_csv"
"Caranx caballus","Local_csv"
"Caranx caninus","Local_csv"
"Caranx ignobilis","Local_csv"
"Caranx latus","Local_csv"
"Caranx lugubris","Local_csv"
"Caranx melampygus","Local_csv"
"Caranx tille","Local_csv"
"Decapterus macrosoma","Local_csv"
"Decapterus muroadsi","Local_csv"
"Elagatis bipinnulata","Local_csv"
"Selar crumenophthalmus","Local_csv"
"Selene peruviana","Local_csv"
"Seriola lalandi","Local_csv"
"Seriola rivoliana","Local_csv"
"Trachinotus paitensis","Local_csv"
"Trachinotus rhodopus","Local_csv"
"Trachinotus stilbe","Local_csv"
"Seriolella violacea","Local_csv"
"Centropomus viridis","Local_csv"
"Chaetodon humeralis","Local_csv"
"Oreochromis niloticus","Local_csv"
"Cirrhitichthys oxycephalus","Local_csv"
"Cirrhitus rivulatus","Local_csv"
"Oxycirrhites typus","Local_csv"
"Coryphaena equiselis","Local_csv"
"Coryphaena hippurus","Local_csv"
"Dactyloscopus lacteus","Local_csv"
"Gillellus semicinctus","Local_csv"
"Myxodagnus sagitta","Local_csv"
"Platygillellus rubellulus","Local_csv"
"Echeneis naucrates","Local_csv"
"Dormitator latifrons","Local_csv"
"Eleotris picta","Local_csv"
"Gobiomorus maculatus","Local_csv"
"Cymatogaster aggregata","Local_csv"
"Epigonus merleni","Local_csv"
"Gempylus serpens","Local_csv"
"Lepidocybium flavobrunneum","Local_csv"
"Nealotus tripes","Local_csv"
"Ruvettus pretiosus","Local_csv"
"Diapterus peruvianus","Local_csv"
"Eucinostomus argenteus","Local_csv"
"Eucinostomus californiensis","Local_csv"
"Eucinostomus currani","Local_csv"
"Eucinostomus dowii","Local_csv"
"Eucinostomus gracilis","Local_csv"
"Eugerres lineatus","Local_csv"
"Gerres cinereus","Local_csv"
"Lythrypnus gilberti","Local_csv"
"Haemulon sexfasciatum","Local_csv"
"Orthopristis chalceus","Local_csv"
"Xenichthys agassizii","Local_csv"
"Xenocys jessiae","Local_csv"
"Orthopristis forbesi","Local_csv"
"Istiophorus platypterus","Local_csv"
"Makaira indica","Local_csv"
"Makaira mazara","Local_csv"
"Kyphosus analogus","Local_csv"
"Kyphosus elegans","Local_csv"
"Girella fremenvillei","Local_csv"
"Sectator ocyurus","Local_csv"
"Bodianus diplotaenia","Local_csv"
"Bodianus eclancheri","Local_csv"
"Halichoeres dispilus","Local_csv"
"Halichoeres nicholsi","Local_csv"
"Semicossyphus darwini","Local_csv"
"Thalassoma grammaticum","Local_csv"
"Thalassoma lucasanum","Local_csv"
"Xyrichtys victory","Local_csv"
"Lutjanus aratus","Local_csv"
"Lutjanus argentiventris","Local_csv"
"Lutjanus inermis","Local_csv"
"Lutjanus jordani","Local_csv"
"Lutjanus novemfasciatus","Local_csv"
"Lutjanus viridis","Local_csv"
"Luvarus imperialis","Local_csv"
"Caulolatilus princeps","Local_csv"
"Clarkichthys bilineatus","Local_csv"
"Microdesmus dipus","Local_csv"
"Mulloidichthys dentatus","Local_csv"
"Nematistius pectoralis","Local_csv"
"Opistognathus galapagensis","Local_csv"
"Howella pammelas","Local_csv"
"Polydactylus approximans","Local_csv"
"Holacanthus passer","Local_csv"
"Pomacanthus zonipectus","Local_csv"
"Abudefduf concolor","Local_csv"
"Abudefduf troschelii","Local_csv"
"Azurina eupalama","Local_csv"
"Chromis alta","Local_csv"
"Chromis atrilobata","Local_csv"
"Microspathodon bairdii","Local_csv"
"Microspathodon dorsalis","Local_csv"
"Stegastes acapulcoensis","Local_csv"
"Stegastes arcifrons","Local_csv"
"Stegastes beebei","Local_csv"
"Stegastes flavilatus","Local_csv"
"Nexilosus latifrons","Local_csv"
"Scarus perrico","Local_csv"
"Scarus ghobban","Local_csv"
"Odontoscion eurymesops","Local_csv"
"Pareques perissa","Local_csv"
"Umbrina galapagorum","Local_csv"
"Acanthocybium solandri","Local_csv"
"Euthynnus lineatus","Local_csv"
"Katsuwonus pelamis","Local_csv"
"Sarda orientalis","Local_csv"
"Scomber japonicus","Local_csv"
"Scomberomorus sierra","Local_csv"
"Thunnus alalunga","Local_csv"
"Thunnus albacares","Local_csv"
"Thunnus obesus","Local_csv"
"Epinephelus analogus","Local_csv"
"Liopropoma fasciatum","Local_csv"
"Mycteroperca olfax","Local_csv"
"Paranthias colonus","Local_csv"
"Rypticus bicolor","Local_csv"
"Rypticus nigripinnis","Local_csv"
"Cratinus agassizii","Local_csv"
"Paralabrax albomaculatus","Local_csv"
"Archosargus pourtalesii","Local_csv"
"Calamus brachysomus","Local_csv"
"Calamus taurinus","Local_csv"
"Sphyraena idiastes","Local_csv"
"Peprilus medius","Local_csv"
"Aphanopus capricornis","Local_csv"
"Benthodesmus tenuis","Local_csv"
"Lepidopus manis","Local_csv"
"Lepidonectes corallicola","Local_csv"
"Kathetostoma averruncus","Local_csv"
"Xiphias gladius","Local_csv"
"Lycodapus australis","Local_csv"
"Melanostigma bathium","Local_csv"
"Thermarces cerberus","Local_csv"
"Acanthurus nigricans","Local_csv"
"Acanthurus xanthopterus","Local_csv"
"Naso annulatus","Local_csv"
"Naso brevirostris","Local_csv"
"Naso hexacanthus","Local_csv"
"Naso vlamingii","Local_csv"
"Prionurus punctatus","Local_csv"
"Zanclus cornutus","Local_csv"
"Entomacrodus chiostictus","Local_csv"
"Hypsoblennius brevipinnis","Local_csv"
"Acanthemblemaria castroi","Local_csv"
"Chaenopsis schmitti","Local_csv"
"Cottoclinus canops","Local_csv"
"Dialommus fuscus","Local_csv"
"Labrisomus dendriticus","Local_csv"
"Labrisomus jenkinsi","Local_csv"
"Labrisomus multiporosus","Local_csv"
"Malacoctenus tetranemus","Local_csv"
"Malacoctenus zonogaster","Local_csv"
"Starksia galapagensis","Local_csv"
"Tomicodon chilensis","Local_csv"
"Tomicodon petersii","Local_csv"
"Arcos poecilophthalmos","Local_csv"
"Eleotrica cableae","Local_csv"
"Bathygobius lineatus","Local_csv"
"Coryphopterus urospilus","Local_csv"
"Elacatinus nesiotes","Local_csv"
"Chriolepis tagus","Local_csv"
"Lythrypnus dalli","Local_csv"
"Lythrypnus rhizophora","Local_csv"
"Decodon melasma","Local_csv"
"Halichoeres adustus","Local_csv"
"Halichoeres chierchiae","Local_csv"
"Halichoeres melanotis","Local_csv"
"Halichoeres notospilus","Local_csv"
"Halichoeres raisneri","Local_csv"
"Iniistius pavo","Local_csv"
"Novaculichthys taeniourus","Local_csv"
"Stethojulis bandanensis","Local_csv"
"Thalassoma purpureum","Local_csv"
"Calotomus carolinus","Local_csv"
"Scarus compressus","Local_csv"
"Scarus rubroviolaceus","Local_csv"
"Nicholsina denticulata","Local_csv"
"Caranx sexfasciatus","Local_csv"
"Decapterus macarellus","Local_csv"
"Decapterus punctatus","Local_csv"
"Gnathanodon speciosus","Local_csv"
"Naucrates ductor","Local_csv"
"Oligoplites saurus","Local_csv"
"Trachurus murphyi","Local_csv"
"Uraspis helvola","Local_csv"
"Chaetodon auriga","Local_csv"
"Chaetodon kleinii","Local_csv"
"Chaetodon lunula","Local_csv"
"Chaetodon meyeri","Local_csv"
"Chaetodon unimaculatus","Local_csv"
"Forcipiger flavissimus","Local_csv"
"Johnrandallia nigrirostris","Local_csv"
"Prognathodes falcifer","Local_csv"
"Phtheirichthys lineatus","Local_csv"
"Remora brachyptera","Local_csv"
"Remora osteochir","Local_csv"
"Remora remora","Local_csv"
"Remorina albescens","Local_csv"
"Chaetodipterus zonatus","Local_csv"
"Anisotremus interruptus","Local_csv"
"Anisotremus scapularis","Local_csv"
"Haemulon scudderii","Local_csv"
"Haemulon steindachneri","Local_csv"
"Orthopristis cantharinus","Local_csv"
"Orthopristis lethopristis","Local_csv"
"Xenichthys xanti","Local_csv"
"Kuhlia mugil","Local_csv"
"Hoplopagrus guentherii","Local_csv"
"Lutjanus guttatus","Local_csv"
"Pristipomoides zonatus","Local_csv"
"Malacanthus brevirostris","Local_csv"
"Caulolatilus affinis","Local_csv"
"Pseudupeneus grandisquamis","Local_csv"
"Opistognathus rhomaleus","Local_csv"
"Oplegnathus insignis","Local_csv"
"Cookeolus japonicus","Local_csv"
"Heteropriacanthus cruentatus","Local_csv"
"Priacanthus cf. meeki","Local_csv"
"Pristigenys serrula","Local_csv"
"Cilus gilberti","Local_csv"
"Corvula macrops","Local_csv"
"Cynoscion phoxocephalus","Local_csv"
"Larimus pacificus","Local_csv"
"Alphestes immaculatus","Local_csv"
"Anthias noeli","Local_csv"
"Cephalopholis panamensis","Local_csv"
"Dermatolepis dermatolepis","Local_csv"
"Diplectrum eumelum","Local_csv"
"Diplectrum euryplectrum","Local_csv"
"Diplectrum macropoma","Local_csv"
"Diplectrum rostrum","Local_csv"
"Epinephelus cifuentesi","Local_csv"
"Epinephelus labriformis","Local_csv"
"Hemanthias peruanus","Local_csv"
"Hemilutjanus macrophthalmos","Local_csv"
"Hyporthodus mystacinus","Local_csv"
"Hyporthodus niveatus","Local_csv"
"Liopropoma longilepis","Local_csv"
"Mycteroperca xenarcha","Local_csv"
"Pronotogrammus multifasciatus","Local_csv"
"Serranus aequidens","Local_csv"
"Serranus psittacinus","Local_csv"
"Serranus stilbostigma","Local_csv"
"Auxis rochei","Local_csv"
"Auxis thazard","Local_csv"
"Sphyraena barracuda","Local_csv"
"Sphyraena ensis","Local_csv"
"Cubiceps pauciradiatus","Local_csv"
"Nomeus gronovii","Local_csv"
"Psenes arafurensis","Local_csv"
"Psenes cyanophrys","Local_csv"
"Psenes pellucidus","Local_csv"
"Psenes sio","Local_csv"
"Trinectes fonsecensis","Local_csv"
"Bothus leopardinus","Local_csv"
"Bothus mancus","Local_csv"
"Symphurus varius","Local_csv"
"Citharichthys gnathus","Local_csv"
"Hippoglossina bollmani","Local_csv"
"Paralichthys woolmani","Local_csv"
"Aseraggodes herrei","Local_csv"
"Monolene maculipinna","Local_csv"
"Syacium ovale","Local_csv"
"Symphurus atramentatus","Local_csv"
"Symphurus diabolicus","Local_csv"
"Paraliparis darwini","Local_csv"
"Paraliparis galapagosensis","Local_csv"
"Peristedion crustosum","Local_csv"
"Pontinus clemensi","Local_csv"
"Pontinus furcirhinus","Local_csv"
"Scorpaena histrio","Local_csv"
"Scorpaena mystes","Local_csv"
"Scorpaenodes xyris","Local_csv"
"Taenianotus triacanthus","Local_csv"
"Trachyscorpia osheri","Local_csv"
"Ectreposebastes imus","Local_csv"
"Prionotus miles","Local_csv"
"Pontinus sp. A","Local_csv"
"Pontinus sp. B","Local_csv"
"Pontinus sp. C","Local_csv"
"Pontinus strigatus","Local_csv"
"Pontinus vaughani","Local_csv"
"Scorpaenodes rubrivinctus","Local_csv"
"Idiastion hageyi","Local_csv"
"Scorpaena cocosensis","Local_csv"
"Bellator farrago","Local_csv"
"Prionotus albirostris","Local_csv"
"Prionotus stephanophrys","Local_csv"
"Astronesthes galapagensis","Local_csv"
"Bathophilus filifer","Local_csv"
"Aulostomus chinensis","Local_csv"
"Fistularia commersonii","Local_csv"
"Hippocampus ingens","Local_csv"
"Bryx veleronis","Local_csv"
"Cosmocampus arctus","Local_csv"
"Doryrhamphus excisus","Local_csv"
"Balistes polylepis","Local_csv"
