"Species","Source"
"Sebastes mystinus","OBIS"
"Megaptera novaeangliae","OBIS"
"Paralabrax clathratus","OBIS"
"Oxyjulis californica","OBIS"
"Chromis punctipinnis","OBIS"
"Bodianus pulcher","OBIS"
"Engraulis mordax","OBIS"
"Embiotoca jacksoni","OBIS"
"Hypsypops rubicundus","OBIS"
"Sebastes atrovirens","OBIS"
"Brachyistius frenatus","OBIS"
"Embiotoca lateralis","OBIS"
"Halichoeres semicinctus","OBIS"
"Oxylebius pictus","OBIS"
"Eschrichtius robustus","OBIS"
"Merluccius productus","OBIS"
"Phanerodon vacca","OBIS"
"Stenobrachius leucopsarus","OBIS"
"Leuroglossus stilbius","OBIS"
"Girella nigricans","OBIS"
"Sebastes melanops","OBIS"
"Protomyctophum crockeri","OBIS"
"Hexagrammos decagrammus","OBIS"
"Sardinops sagax","OBIS"
"Gadus morhua","OBIS"
"Balaenoptera musculus","OBIS"
"Triphoturus mexicanus","OBIS"
"Trachurus symmetricus","OBIS"
"Sebastes carnatus","OBIS"
"Sebastes chrysomelas","OBIS"
"Vinciguerria lucetia","OBIS"
"Lipolagus ochotensis","OBIS"
"Citharichthys stigmaeus","OBIS"
"Hypsurus caryi","OBIS"
"Bathylagoides wesethi","OBIS"
"Cololabis saira","OBIS"
"Tarletonbeania crenularis","OBIS"
"Medialuna californiensis","OBIS"
"Citharichthys sordidus","OBIS"
"Sebastes jordani","OBIS"
"Sebastes paucispinis","OBIS"
"Rhinogobiops nicholsii","OBIS"
"Grampus griseus","OBIS"
"Symbolophorus californiensis","OBIS"
"Cyclothone signata","OBIS"
"Diogenichthys atlanticus","OBIS"
"Scorpaenichthys marmoratus","OBIS"
"Heterostichus rostratus","OBIS"
"Ceratoscopelus townsendi","OBIS"
"Microstomus pacificus","OBIS"
"Ophiodon elongatus","OBIS"
"Balaenoptera physalus","OBIS"
"Lyopsetta exilis","OBIS"
"Paralabrax nebulifer","OBIS"
"Sebastes caurinus","OBIS"
"Delphinus delphis","OBIS"
"Chauliodus macouni","OBIS"
"Sebastes miniatus","OBIS"
"Icichthys lockingtoni","OBIS"
"Rhacochilus toxotes","OBIS"
"Sebastes diploproa","OBIS"
"Lestidiops ringens","OBIS"
"Stomias atriventer","OBIS"
"Scomber japonicus","OBIS"
"Porichthys notatus","OBIS"
"Argyropelecus sladeni","OBIS"
"Idiacanthus antrostomus","OBIS"
"Aulorhynchus flavidus","OBIS"
"Glyptocephalus zachirus","OBIS"
"Phocoenoides dalli","OBIS"
"Sebastes serriceps","OBIS"
"Orcinus orca","OBIS"
"Genyonemus lineatus","OBIS"
"Caulolatilus princeps","OBIS"
"Tetragonurus cuvieri","OBIS"
"Sebastes goodei","OBIS"
"Argentina sialis","OBIS"
"Parophrys vetulus","OBIS"
"Diogenichthys laternatus","OBIS"
"Danaphos oculatus","OBIS"
"Sebastes pinniger","OBIS"
"Sebastes saxicola","OBIS"
"Diaphus theta","OBIS"
"Phanerodon furcatus","OBIS"
"Sagmatias obliquidens","OBIS"
"Sebastes auriculatus","OBIS"
"Trachipterus altivelis","OBIS"
"Paralichthys californicus","OBIS"
"Sebastes aurora","OBIS"
"Pleuronichthys verticalis","OBIS"
"Argyropelecus affinis","OBIS"
"Gasterosteus aculeatus","OBIS"
"Tursiops truncatus","OBIS"
"Bathylagus pacificus","OBIS"
"Melamphaes lugubris","OBIS"
"Cyclothone acclinidens","OBIS"
"Myctophum nitidulum","OBIS"
"Citharichthys xanthostigma","OBIS"
"Phocoena phocoena","OBIS"
"Anisotremus davidsonii","OBIS"
"Cymatogaster aggregata","OBIS"
"Peprilus simillimus","OBIS"
"Lethops connectens","OBIS"
"Citharichthys fragilis","OBIS"
"Sebastolobus altivelis","OBIS"
"Sebastes melanostomus","OBIS"
"Cottus asper","OBIS"
"Nansenia candida","OBIS"
"Notoscopelus resplendens","OBIS"
"Sebastes hopkinsi","OBIS"
"Sebastes wilsoni","OBIS"
"Sebastes semicinctus","OBIS"
"Hypsoblennius jenkinsi","OBIS"
"Chilara taylori","OBIS"
"Squalus acanthias","OBIS"
"Spirinchus thaleichthys","OBIS"
"Sebastes entomelas","OBIS"
"Sebastes rastrelliger","OBIS"
"Lampadena urophaos","OBIS"
"Scopelogadus bispinosus","OBIS"
"Oligocottus snyderi","OBIS"
"Lissodelphis borealis","OBIS"
"Lampanyctus ritteri","OBIS"
"Tactostoma macropus","OBIS"
"Heterodontus francisci","OBIS"
"Hygophum reinhardtii","OBIS"
"Clinocottus analis","OBIS"
"Artedius lateralis","OBIS"
"Symphurus atricauda","OBIS"
"Cebidichthys violaceus","OBIS"
"Atherinops affinis","OBIS"
"Lycenchelys crotalinus","OBIS"
"Hypomesus olidus","OBIS"
"Hippoglossina stomata","OBIS"
"Anoplopoma fimbria","OBIS"
"Eucyclogobius newberryi","OBIS"
"Physeter macrocephalus","OBIS"
"Apodichthys fucorum","OBIS"
"Sebastes levis","OBIS"
"Sebastes nebulosus","OBIS"
"Poromitra crassiceps","OBIS"
"Chiasmodon subniger","OBIS"
"Atherinopsis californiensis","OBIS"
"Aristostomias scintillans","OBIS"
"Xiphister atropurpureus","OBIS"
"Sebastes elongatus","OBIS"
"Lepidogobius lepidus","OBIS"
"Oncorhynchus tshawytscha","OBIS"
"Mola mola","OBIS"
"Gibbonsia metzi","OBIS"
"Sphyraena argentea","OBIS"
"Seriphus politus","OBIS"
"Microstomus bathybius","OBIS"
"Psettichthys melanostictus","OBIS"
"Carcharodon carcharias","OBIS"
"Sebastes flavidus","OBIS"
"Pleuronichthys coenosus","OBIS"
"Synodus lucioceps","OBIS"
"Ophidion scrippsae","OBIS"
"Sebastes dallii","OBIS"
"Leptocottus armatus","OBIS"
"Argyropelecus hemigymnus","OBIS"
"Benthalbella dentata","OBIS"
"Arctozenus risso","OBIS"
"Notolychnus valdiviae","OBIS"
"Rosenblattichthys volucris","OBIS"
"Myliobatis californica","OBIS"
"Cephaloscyllium ventriosum","OBIS"
"Melamphaes parvus","OBIS"
"Pseudobathylagus milleri","OBIS"
"Zaniolepis frenata","OBIS"
"Micrometrus minimus","OBIS"
"Icelinus quadriseriatus","OBIS"
"Hypsoblennius gilberti","OBIS"
"Cataetyx rubrirostris","OBIS"
"Sebastolobus alascanus","OBIS"
"Hemilepidotus spinosus","OBIS"
"Balaenoptera acutorostrata","OBIS"
"Scorpaena guttata","OBIS"
"Anoplarchus purpurescens","OBIS"
"Brosmophycis marginata","OBIS"
"Oncorhynchus mykiss","OBIS"
"Syngnathus californiensis","OBIS"
"Gibbonsia montereyensis","OBIS"
"Pleuronichthys decurrens","OBIS"
"Ichthyococcus irregularis","OBIS"
"Argyropelecus lychnus","OBIS"
"Antimora microlepis","OBIS"
"Oligocottus maculosus","OBIS"
"Odontopyxis trispinosa","OBIS"
"Zaniolepis latipinnis","OBIS"
"Vinciguerria poweriae","OBIS"
"Electrona risso","OBIS"
"Chitonotus pugetensis","OBIS"
"Morone saxatilis","OBIS"
"Hexagrammos lagocephalus","OBIS"
"Nansenia crassa","OBIS"
"Lycodes cortezianus","OBIS"
"Clinocottus globiceps","OBIS"
"Xiphister mucosus","OBIS"
"Sebastes rufus","OBIS"
"Gobiesox maeandricus","OBIS"
"Melanostigma pammelas","OBIS"
"Clevelandia ios","OBIS"
"Gonichthys tenuiculus","OBIS"
"Clinocottus recalvus","OBIS"
"Hygophum atratum","OBIS"
"Sebastes rosaceus","OBIS"
"Apodichthys flavidus","OBIS"
"Lycodes diapterus","OBIS"
"Zalembius rosaceus","OBIS"
"Microgadus proximus","OBIS"
"Tetronarce californica","OBIS"
