"Species","Source"
"Engraulis mordax","Local_csv"
"Balaenoptera musculus","Local_csv"
"Oncorhynchus tshawytscha","Local_csv"
"Oncorhynchus kisutch","Local_csv"
"Metacarcinus magister","Local_csv"
"Thaleichthys pacificus","Local_csv"
"Carcinus maenas","Local_csv"
"Arctocephalus townsendi","Local_csv"
"Hippoglossus stenolepis","Local_csv"
"Clupea pallasii","Local_csv"
"Euphausia pacifica","Local_csv"
"Thysanoessa spinifera","Local_csv"
"Dermochelys coriacea","Local_csv"
"Spirinchus starksi","Local_csv"
"Entosphenus tridentatus","Local_csv"
"Ethmidium maculatum","Local_csv"
"Eubalaena japonica","Local_csv"
"Siliqua patula","Local_csv"
"Merluccius productus","Local_csv"
"Alexandrium catenella","Local_csv"
"Haliotis kamtschatkana","Local_csv"
"Oncorhynchus nerka","Local_csv"
"Anoplopoma fimbria","Local_csv"
"Nereocystis leutkeana","Local_csv"
"Macrocystis pyrifera","Local_csv"
"Orcinus orca","Local_csv"
"Oncorhynchus mykiss","Local_csv"
"Pycnopodia helianthoides","Local_csv"
"Hypomesus pretiosus","Local_csv"
"Ammodytes hexapterus","Local_csv"
"Calanus Calanus marshallae","Local_csv"
"Pseudocalanus Pseudocalanus mimus","Local_csv"
"Acartia Acartia longiremis","Local_csv"
"Acartia Acartia tonsa","Local_csv"
"Calanus Calanus pacificus","Local_csv"
"Calocalanus Calocalanus spp.","Local_csv"
"Clausocalanus Clausocalanus spp.","Local_csv"
"Corycaeus Corycaeus anglicus","Local_csv"
"Ctenocalanus Ctenocalanus vanus","Local_csv"
"Mesocalanus Mesocalanus tenuicornis","Local_csv"
"Paracalanus Paracalanus spp.","Local_csv"
"Euphausia Euphausia gibboides","Local_csv"
"Euphausia Euphausia mutica","Local_csv"
"Euphausia Euphausia pacifica","Local_csv"
"Euphausia Euphausia recurva","Local_csv"
"Nematoscelis Nematoscelis difficilis","Local_csv"
"Thysanoessa Thysanoessa gregaria","Local_csv"
"Thysanoessa Thysanoessa inermis","Local_csv"
"Thysanoessa Thysanoessa inspinata","Local_csv"
"Thysanoessa Thysanoessa longipes","Local_csv"
"Thysanoessa Thysanoessa raschii","Local_csv"
"Thysanoessa Thysanoessa spinifera","Local_csv"
"Thysanopoda Thysanopoda acutifrons","Local_csv"
"Nematobrachion Nematobrachion boopis","Local_csv"
"Nematobrachion Nematobrachion flexipes","Local_csv"
"Nematoscelis Nematoscelis tenella","Local_csv"
"Stylocheiron Stylocheiron longicorne","Local_csv"
"Stylocheiron Stylocheiron maximum","Local_csv"
"Tessarabrachion Tessarabrachion oculatum","Local_csv"
"Thysanopoda Thysanopoda orientalis","Local_csv"
"Bentheuphausia Bentheuphausia amblyops","Local_csv"
"Thysanopoda Thysanopoda cornuta","Local_csv"
"Thysanopoda Thysanopoda egregia","Local_csv"
"Euphausia Euphausia nana","Local_csv"
"Nematoscelis Nematoscelis lobata","Local_csv"
"Nyctiphanes Nyctiphanes simplex","Local_csv"
