"ASV_id","domain","phylum","class","order","family","genus","species"
"MiFish_0000001",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000002",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000003",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000004","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae",NA,NA
"MiFish_0000005",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000006",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000007","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni"
"MiFish_0000008",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000009",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000010",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000011",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000012","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons"
"MiFish_0000013",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000014",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000015",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000016",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000017",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000018",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000019",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000020",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000021",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000022",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000023",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000024",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000025",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000026",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000027",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000028",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000029",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000030",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000031",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000032",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000033",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000034",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000035","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni"
"MiFish_0000036",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000037",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000038",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000039",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000040",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000041",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000042",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000043",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000044",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000045","Eukaryota","Chordata","Actinopteri",NA,"Pomacentridae","Stegastes","Stegastes arcifrons"
"MiFish_0000046",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000047",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000048",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000049",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000050",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000051",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000052",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000053",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000054",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000055","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil thoburni"
"MiFish_0000056",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000057",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000058","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Archosargus","Archosargus rhomboidalis"
"MiFish_0000059",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000060",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000061",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000062",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000063",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000064",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000065",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000066","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Lampanyctus","Lampanyctus acanthurus"
"MiFish_0000067",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000068",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000069",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000070",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000071",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000072",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000073",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000074",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000075",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000076",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000077",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000078",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000079",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000080",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000081",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000082",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000083",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000084",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000085",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000086",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000087",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000088",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000089",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000090",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000091","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000092","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000093","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000094","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000095","Eukaryota","Chordata","Actinopteri","Gerreiformes","Gerreidae","Gerres","Gerres cinereus"
"MiFish_0000096","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000097",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000098","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus"
"MiFish_0000099",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000100","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000101",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000102","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000103","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000104",NA,NA,NA,NA,NA,NA,NA
"MiFish_0000105","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus",NA
"MiFish_0000106","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Haemulidae","Orthopristis","Orthopristis chrysoptera"
"MiFish_0000107","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
"MiFish_0000108","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus argentimaculatus"
