MiFish_0000004	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Scombridae,g:Auxis,s:Auxis_thazard
MiFish_0000006	
MiFish_0000003	
MiFish_0000010	
MiFish_0000009	
MiFish_0000011	
MiFish_0000034	
MiFish_0000015	
MiFish_0000029	
MiFish_0000007	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_thoburni
MiFish_0000023	
MiFish_0000014	
MiFish_0000024	
MiFish_0000032	
MiFish_0000037	
MiFish_0000001	
MiFish_0000008	
MiFish_0000012	
MiFish_0000039	
MiFish_0000005	
MiFish_0000002	
MiFish_0000041	
MiFish_0000026	
MiFish_0000021	
MiFish_0000013	
MiFish_0000030	
MiFish_0000033	
MiFish_0000050	
MiFish_0000051	
MiFish_0000052	
MiFish_0000048	
MiFish_0000020	
MiFish_0000019	
MiFish_0000025	
MiFish_0000055	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_thoburni
MiFish_0000017	
MiFish_0000022	
MiFish_0000038	
MiFish_0000060	
MiFish_0000062	
MiFish_0000027	
MiFish_0000028	
MiFish_0000016	
MiFish_0000069	
MiFish_0000018	
MiFish_0000073	
MiFish_0000075	
MiFish_0000072	
MiFish_0000045	
MiFish_0000057	
MiFish_0000064	
MiFish_0000054	
MiFish_0000067	
MiFish_0000035	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_thoburni
MiFish_0000031	
MiFish_0000040	
MiFish_0000046	
MiFish_0000078	
MiFish_0000079	
MiFish_0000080	
MiFish_0000082	
MiFish_0000085	
MiFish_0000083	
MiFish_0000049	
MiFish_0000093	
MiFish_0000063	
MiFish_0000071	
MiFish_0000053	
MiFish_0000094	
MiFish_0000056	
MiFish_0000074	
MiFish_0000098	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus
MiFish_0000070	
MiFish_0000095	
MiFish_0000091	
MiFish_0000092	
MiFish_0000042	
MiFish_0000097	
MiFish_0000047	
MiFish_0000103	
MiFish_0000096	
MiFish_0000043	
MiFish_0000101	
MiFish_0000059	
MiFish_0000044	
MiFish_0000106	
MiFish_0000088	
MiFish_0000104	
MiFish_0000065	
MiFish_0000081	
MiFish_0000084	
MiFish_0000061	
MiFish_0000058	
MiFish_0000113	
MiFish_0000115	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus
MiFish_0000112	
MiFish_0000110	
MiFish_0000108	
MiFish_0000107	
MiFish_0000121	
MiFish_0000128	
MiFish_0000127	
MiFish_0000068	
MiFish_0000066	
MiFish_0000076	
MiFish_0000114	
MiFish_0000111	
MiFish_0000118	
MiFish_0000124	d:Eukaryota,p:Chordata,c:Actinopteri,o:Mugiliformes,f:Mugilidae,g:Mugil,s:Mugil_cephalus
MiFish_0000125	
MiFish_0000036	
MiFish_0000099	
MiFish_0000120	
MiFish_0000100	
MiFish_0000129	
MiFish_0000102	
MiFish_0000122	
MiFish_0000090	
MiFish_0000086	
MiFish_0000123	
MiFish_0000109	
MiFish_0000131	
MiFish_0000136	
MiFish_0000116	
MiFish_0000077	
MiFish_0000117	
MiFish_0000119	
MiFish_0000087	
MiFish_0000132	
MiFish_0000130	
MiFish_0000145	
MiFish_0000105	
MiFish_0000135	
MiFish_0000126	
MiFish_0000142	
MiFish_0000133	
MiFish_0000151	
MiFish_0000147	
MiFish_0000150	
MiFish_0000134	
MiFish_0000154	
MiFish_0000159	
MiFish_0000158	
MiFish_0000161	
MiFish_0000138	
MiFish_0000157	
MiFish_0000141	
MiFish_0000163	
MiFish_0000162	
MiFish_0000164	
MiFish_0000173	
MiFish_0000137	
MiFish_0000160	
MiFish_0000168	
MiFish_0000149	
MiFish_0000144	
MiFish_0000167	
MiFish_0000169	
MiFish_0000156	
MiFish_0000165	
MiFish_0000175	
MiFish_0000171	
MiFish_0000089	
MiFish_0000143	
MiFish_0000139	
MiFish_0000152	
MiFish_0000155	
MiFish_0000146	
MiFish_0000153	
MiFish_0000148	
MiFish_0000199	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Scombridae,g:Thunnus
MiFish_0000200	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Scombridae,g:Acanthocybium,s:Acanthocybium_solandri
MiFish_0000203	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Scombridae,g:Acanthocybium,s:Acanthocybium_solandri
MiFish_0000140	
MiFish_0000185	
MiFish_0000206	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Scombridae
MiFish_0000205	
MiFish_0000207	d:Eukaryota,p:Chordata,c:Actinopteri,o:Scombriformes,f:Scombridae,g:Acanthocybium,s:Acanthocybium_solandri
MiFish_0000191	
MiFish_0000174	
MiFish_0000208	
MiFish_0000209	
MiFish_0000210	
MiFish_0000183	
MiFish_0000202	
