"ASV_id","domain","phylum","class","order","family","genus","species"
"row_1","Eukaryota","Chordata","Mammalia","Artiodactyla",NA,NA,NA
"row_2","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"row_3","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"row_4","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_5","Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"row_6","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"row_7","Eukaryota","Chordata","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes",NA
"row_8","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"row_9","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"row_10","Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri"
"row_11",NA,NA,NA,NA,NA,NA,NA
"row_12","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_13","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"row_14",NA,NA,NA,NA,NA,NA,NA
"row_15","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"row_16","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_17","Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"row_18","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae",NA,NA
"row_19","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"row_20","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"row_21","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_22","Eukaryota",NA,NA,NA,NA,NA,NA
"row_23","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"row_24","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_25","Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"row_26","Eukaryota","Chordata","Actinopteri","Scombriformes","Centrolophidae","Icichthys","Icichthys lockingtoni"
"row_27","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
"row_28","Eukaryota","Chordata","Actinopteri","Stomiiformes","Phosichthyidae",NA,NA
"row_29","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"row_30","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes pinniger"
"row_31","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"row_32",NA,NA,NA,NA,NA,NA,NA
"row_33","Eukaryota",NA,NA,NA,NA,NA,NA
"row_34","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Bathylagoides","Bathylagoides wesethi"
"row_35","Eukaryota","Chordata","Actinopteri","Scombriformes","Chiasmodontidae",NA,NA
"row_36","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"row_37","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"row_38","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_39","Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"row_40","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
"row_41","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"row_42","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes pinniger"
"row_43","Eukaryota","Chordata","Actinopteri","Stomiiformes","Stomiidae","Stomias","Stomias atriventer"
"row_44","Eukaryota",NA,NA,NA,NA,NA,NA
"row_45","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"row_46","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Trachurus","Trachurus symmetricus"
"row_47","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Triphoturus","Triphoturus mexicanus"
"row_48",NA,NA,NA,NA,NA,NA,NA
"row_49","Eukaryota",NA,NA,NA,NA,NA,NA
"row_50","Eukaryota","Chordata","Actinopteri","Scombriformes","Chiasmodontidae",NA,NA
"row_51","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys",NA
"row_52","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus"
"row_53","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys stigmaeus"
"row_54","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"row_55","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae","Delphinus",NA
"row_56","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_57","Eukaryota",NA,NA,NA,NA,NA,NA
"row_58","Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"row_59","Eukaryota","Chordata","Actinopteri","Scombriformes","Centrolophidae","Icichthys","Icichthys lockingtoni"
"row_60","Eukaryota","Chordata","Actinopteri","Argentiniformes","Bathylagidae","Leuroglossus",NA
"row_61","Eukaryota",NA,NA,NA,NA,NA,NA
"row_62","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus"
"row_63","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Molidae","Mola",NA
"row_64","Eukaryota",NA,NA,NA,NA,NA,NA
"row_65","Eukaryota",NA,NA,NA,NA,NA,NA
"row_66","Eukaryota",NA,NA,NA,NA,NA,NA
"row_67","Eukaryota","Chordata","Actinopteri","Scombriformes","Nomeidae","Psenes","Psenes pellucidus"
"row_68","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"row_69","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","Sebastes entomelas"
"row_70","Eukaryota",NA,NA,NA,NA,NA,NA
"row_71","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis"
"row_72","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus",NA
"row_73","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Triphoturus","Triphoturus mexicanus"
"row_74","Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"row_75",NA,NA,NA,NA,NA,NA,NA
"row_76","Eukaryota",NA,NA,NA,NA,NA,NA
"row_77","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax"
"row_78","Eukaryota","Chordata","Mammalia",NA,NA,NA,NA
"row_79","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA
"row_80",NA,NA,NA,NA,NA,NA,NA
"row_81","Eukaryota","Chordata","Chondrichthyes","Lamniformes","Alopiidae","Alopias","Alopias vulpinus"
"row_82","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Ceratoscopelus",NA
"row_83","Eukaryota","Chordata","Actinopteri","Stomiiformes","Gonostomatidae","Cyclothone","Cyclothone signata"
"row_84","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA
"row_85","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys atlanticus"
"row_86","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Diogenichthys","Diogenichthys laternatus"
