"ASV_id","Sample_name","BestTaxon","Class","nReads","name_match_type","domain","phylum","class","order","family","genus","species","before_domain","after_domain","before_phylum","after_phylum","before_class","after_class","before_order","after_order","before_family","after_family","before_genus","after_genus","before_species","after_species","regatta_match_rank","after_scientific_name"
"row_1","RL2501_EN3825_3_MV1","Bos taurus","Mammalia",5,"scientific name","Eukaryota","Chordata","Mammalia","Artiodactyla","Bovidae","Bos","Bos taurus","Eukaryota","Eukaryota","Chordata","Chordata","Mammalia","Mammalia","Artiodactyla","Artiodactyla","Bovidae",NA,"Bos",NA,"Bos taurus",NA,"order","Artiodactyla"
"row_2","RL2501_EN3825_3_MV1","Citharichthys sordidus","Actinopteri",7,"scientific name","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Citharichthys","Citharichthys sordidus","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Pleuronectiformes","Pleuronectiformes","Cyclopsettidae","Cyclopsettidae","Citharichthys","Citharichthys","Citharichthys sordidus","Citharichthys sordidus","species","Citharichthys sordidus"
"row_3","RL2501_EN3825_3_MV1","Delphinidae","Mammalia",21,"scientific name","Eukaryota","Chordata","Mammalia","Artiodactyla","Delphinidae",NA,NA,"Eukaryota","Eukaryota","Chordata","Chordata","Mammalia","Mammalia","Artiodactyla","Artiodactyla","Delphinidae","Delphinidae",NA,NA,NA,NA,"family","Delphinidae"
"row_4","RL2501_EN3825_3_MV1","Engraulis mordax","Actinopteri",920,"scientific name","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Engraulis","Engraulis mordax","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Clupeiformes","Clupeiformes","Engraulidae","Engraulidae","Engraulis","Engraulis","Engraulis mordax","Engraulis mordax","species","Engraulis mordax"
"row_5","RL2501_EN3825_3_MV1","Homo sapiens","Mammalia",5,"scientific name","Eukaryota","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens","Eukaryota","Eukaryota","Chordata","Chordata","Mammalia","Mammalia","Primates",NA,"Hominidae",NA,"Homo",NA,"Homo sapiens",NA,"class","Mammalia"
"row_6","RL2501_EN3825_3_MV1","Merluccius productus","Actinopteri",2,"scientific name","Eukaryota","Chordata","Actinopteri","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Gadiformes","Gadiformes","Merlucciidae","Merlucciidae","Merluccius","Merluccius","Merluccius productus","Merluccius productus","species","Merluccius productus"
"row_7","RL2501_EN3825_3_MV1","Oneirodes","Actinopteri",3,"scientific name","Eukaryota","Chordata","Actinopteri","Lophiiformes","Oneirodidae","Oneirodes",NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Lophiiformes","Lophiiformes","Oneirodidae","Oneirodidae","Oneirodes","Oneirodes",NA,NA,"genus","Oneirodes"
"row_8","RL2501_EN3825_3_MV1","Sebastes","Actinopteri",7,"scientific name","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes",NA,"Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Perciformes","Perciformes","Sebastidae","Sebastidae","Sebastes","Sebastes",NA,NA,"genus","Sebastes"
"row_9","RL2501_EN3825_3_MV1","Symbolophorus californiensis","Actinopteri",36,"scientific name","Eukaryota","Chordata","Actinopteri","Myctophiformes","Myctophidae","Symbolophorus","Symbolophorus californiensis","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Myctophiformes","Myctophiformes","Myctophidae","Myctophidae","Symbolophorus","Symbolophorus","Symbolophorus californiensis","Symbolophorus californiensis","species","Symbolophorus californiensis"
"row_10","RL2501_EN3825_3_MV1","Tetragonurus cuvieri","Actinopteri",37,"scientific name","Eukaryota","Chordata","Actinopteri","Scombriformes","Tetragonuridae","Tetragonurus","Tetragonurus cuvieri","Eukaryota","Eukaryota","Chordata","Chordata","Actinopteri","Actinopteri","Scombriformes","Scombriformes","Tetragonuridae","Tetragonuridae","Tetragonurus","Tetragonurus","Tetragonurus cuvieri","Tetragonurus cuvieri","species","Tetragonurus cuvieri"
