"row_names","regatta"
"total ASVs",3948
"assigned ASVs",3665
"Percentage of ASVs assigned",92.8318135764944
"count of local assignment preferred",NA
"percent local assignments",NA
"count of global assignment preferred",NA
"percent global assignments",NA
"change in number of ASVs assigned",NA
"ID'ed to kingdom only",680
"ID'ed to phylum only",58
"ID'ed to class only",292
"ID'ed to order only",45
"ID'ed to family only",310
"ID'ed to genus only",682
"ID'ed to species",1598
"Number of phyla",1
"Number of classes",3
"Number of orders",27
"Number of families",55
"Number of genera",87
"Number of species",86
