"stage","metric","count"
"reconcile_global_local","total ASVs",11301
"reconcile_global_local","assigned ASVs",1011
"reconcile_global_local","both DBs unassigned",10290
"reconcile_global_local","best_pctid: local won",446
"reconcile_global_local","best_pctid: global won",565
"reconcile_global_local","global_lca_to_local triggered",8
"reconcile_global_local","Final: database = local",446
"reconcile_global_local","Final: database = global",557
"reconcile_global_local","Final: database = global_lca_to_local",8
"reconcile_global_local","ID'ed to kingdom only",0
"reconcile_global_local","ID'ed to phylum only",0
"reconcile_global_local","ID'ed to class only",0
"reconcile_global_local","ID'ed to order only",9
"reconcile_global_local","ID'ed to family only",10
"reconcile_global_local","ID'ed to genus only",21
"reconcile_global_local","ID'ed to species",971
"reconcile_checklist","total ASVs",11301
"reconcile_checklist","assigned before checklist-LCA",1011
"reconcile_checklist","assigned after checklist-LCA",1011
"reconcile_checklist","change in number of ASVs assigned",0
"reconcile_checklist","matched at species",448
"reconcile_checklist","matched at genus",21
"reconcile_checklist","matched at family",12
"reconcile_checklist","matched at order",0
"reconcile_checklist","matched at class",0
"reconcile_checklist","matched at phylum",37
"reconcile_checklist","matched at domain",493
"reconcile_checklist","not matched (off-target)",10290
"reconcile_checklist","ID'ed to kingdom only",493
"reconcile_checklist","ID'ed to phylum only",37
"reconcile_checklist","ID'ed to class only",0
"reconcile_checklist","ID'ed to order only",0
"reconcile_checklist","ID'ed to family only",12
"reconcile_checklist","ID'ed to genus only",21
"reconcile_checklist","ID'ed to species",448
