"ASV_id","domain","phylum","class","order","family","genus","species"
"BerryCrust_0000001",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000002","Eukaryota","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Crinotonia","Crinotonia attenuatus"
"BerryCrust_0000003",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000004",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000005",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000006",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000007",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000008",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000009",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000010",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000011",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000012",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000013",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000014",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000015",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000016",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000017",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000018",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000019","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000020",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000021",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000022",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000023",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000024",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000025",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000026",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000027",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000028",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000029",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000030",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000031",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000032",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000033",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000034",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000035",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000036",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000037",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000038",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000039",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000040",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000041",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000042",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000043",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000044",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000045",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000046",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000047",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000048",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000049",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000050",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000051",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000052",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000053",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000054",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000055",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000056",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000057",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000058",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000059",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000060",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000061",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000062",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000063",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000064",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000065",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000066",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000067",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000068",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000069",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000070",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000071",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000072",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000073",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000074",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000075",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000076",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000077",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000078",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000079",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000080",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000081",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000082",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000083",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000084",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000085",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000086",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000087",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000088",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000089",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000090",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000091",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000092",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000093",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000094",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000095",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000096",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000097",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000098",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000099",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000100",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000101",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000102",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000103",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000104",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000105",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000106",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000107",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000108",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000109",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000110",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000111",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000112",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000113",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000114",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000115",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000116",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000117",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000118",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000119",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000120",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000121",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000122",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000123",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000124",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000125",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000126",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000127",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000128",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000129",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000130",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000131",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000132",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000133",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000134",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000135",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000136",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000137",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000138",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000139",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000140",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000141",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000142",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000143",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000144",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000145",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000146",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000147",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000148",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000149",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000150",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000151",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000152",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000153",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000154",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000155",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000156",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000157",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000158",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000159",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000160",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000161",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000162",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000163",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000164",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000165",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000166",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000167",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000168",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000169",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000170",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000171",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000172",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000173",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000174",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000175",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000176",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000177",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000178",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000179",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000180",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000181",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000182",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000183",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000184",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000185",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000186",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000187",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000188",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000189",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000190",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000191",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000192",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000193",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000194",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000195",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000196",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000197",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000198",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000199",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000200",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000201",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000202",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000203",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000204",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000205",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000206",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000207",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000208",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000209",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000210",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000211",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000212",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000213",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000214",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000215",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000216",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000217",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000218",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000219",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000220",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000221",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000222",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000223",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000224",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000225",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000226",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000227",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000228",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000229",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000230",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000231",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000232",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000233",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000234",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000235",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000236",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000237",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000238",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000239",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000240",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000241",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000242",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000243",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000244",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000245",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000246",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000247",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000248",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000249",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000250",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000251",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000252",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000253",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000254","Eukaryota",NA,NA,NA,NA,NA,NA
"BerryCrust_0000255","Eukaryota",NA,NA,NA,NA,NA,NA
"BerryCrust_0000256","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000257",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000258","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000259",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000260","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000261",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000262","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000263",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000264","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000265",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000266","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000267",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000268","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000269",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000270",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000271",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000272","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000273","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000274","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000275",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000276",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000277","Eukaryota","Arthropoda","Malacostraca","Decapoda","Palaemonidae","Crinotonia","Crinotonia attenuatus"
"BerryCrust_0000278",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000279",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000280",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000281",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000282",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000283",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000284",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000285",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000286",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000287","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000288","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
"BerryCrust_0000289",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000290",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000291",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000292",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000293",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000294",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000295",NA,NA,NA,NA,NA,NA,NA
"BerryCrust_0000296","Eukaryota","Arthropoda",NA,NA,NA,NA,NA
